"n.train","train.C","test.C"
100,NA,NA
100,0.702263083451202,0.49507929813104
100,NA,NA
100,0.580993035272972,0.483202090790296
100,0.613354387547936,0.470206450022964
100,0.630898366606171,0.504310937858289
100,NA,NA
100,0.545652173913043,0.510526015382347
100,0.599350799907257,0.484072467678004
100,NA,NA
100,NA,NA
100,NA,NA
100,0.575792113061318,0.488299610636343
100,NA,NA
100,NA,NA
100,0.609129814550642,0.506726106858997
100,0.507062485037108,0.51366389011346
100,0.561787505699954,0.530847880924331
100,0.638356164383562,0.49986651789687
100,0.572882924571957,0.492314124963529
500,0.533199360584608,0.506140384584956
500,0.632609092568925,0.490523680594294
500,0.549092849519744,0.538639599078714
500,0.518211935557068,0.51311477651327
500,0.537863350177734,0.509856235767886
500,0.573987553323115,0.511498192553595
500,NA,NA
500,0.538495863158873,0.50611519095258
500,0.581542812827882,0.527949734372313
500,NA,NA
500,NA,NA
500,NA,NA
500,0.572866370134164,0.488865407416123
500,0.560893434195065,0.499442402968976
500,0.533488518752087,0.48834100867439
500,0.569278217639477,0.499554974297495
500,0.537494139386083,0.52336358218354
500,0.587121822052851,0.523622704131098
500,0.536624464887513,0.496178143630695
500,0.573763528238466,0.49817445330642
1000,0.61861734938658,0.523041245502052
1000,0.608417991123794,0.482589332281165
1000,NA,NA
1000,0.614531044196234,0.514066455480464
1000,0.552669552669553,0.511527632099798
1000,0.561020236899669,0.502795708752728
1000,0.503528070675406,0.501083807664343
1000,0.513870214593941,0.507072313658608
1000,0.540481265604389,0.526074049939815
1000,0.561544418680483,0.508903668740614
1000,0.500100554486167,0.507764789651694
1000,0.578336283508823,0.507100528108211
1000,0.504881994670727,0.49378331207468
1000,0.567161360453976,0.52175313991115
1000,0.503573604788702,0.488080449013363
1000,0.541339138054027,0.483758537382838
1000,0.51308501927447,0.516183378500452
1000,0.587362059609613,0.518707413971149
1000,0.624786817160279,0.522867833719971
1000,0.515943492580819,0.486171432224947
2000,0.500901666840175,0.497814333502836
2000,0.590306677105213,0.502854914125816
2000,0.50336228568988,0.511522292366745
2000,0.607975230997745,0.526342221636436
2000,0.605281906595111,0.550541488013978
2000,0.534226364722138,0.508016954768243
2000,0.498894130597397,0.504441976679622
2000,0.569425078457362,0.531472678688286
2000,0.535160208353394,0.522614554768175
2000,0.544049332971318,0.51502736605696
2000,0.52356127409142,0.501673780612268
2000,0.56358026376867,0.520318099999771
2000,0.539967001104696,0.527069378448589
2000,0.598063848570642,0.540400647178193
2000,0.515171975285057,0.495681060101363
2000,0.525406800879173,0.486116818981665
2000,0.5791273252878,0.524114743222121
2000,0.5782026866324,0.547885748815145
2000,0.574338752764364,0.526021703363064
2000,0.523505225767217,0.487153374008988
5000,0.572909389299726,0.528147207203949
5000,0.590021832241053,0.521245187009347
5000,0.570119331455328,0.547198483524994
5000,0.551925422053473,0.521204215846237
5000,0.55789008912353,0.552766873043572
5000,0.567367007740621,0.528691717984165
5000,0.512871925271658,0.515655134322682
5000,0.561777991244601,0.538602941176471
5000,0.549992272074203,0.514319911668612
5000,0.54161425346963,0.513242523976683
5000,0.568557460851719,0.53546464421956
5000,0.585618527507833,0.532163368182224
5000,0.573840674525217,0.542273021194527
5000,0.58846656074737,0.550352840088484
5000,0.566938860430576,0.535198393840935
5000,0.564639169786737,0.525108701822104
5000,0.566570757766151,0.536783276546458
5000,0.544747724475478,0.539238896630095
5000,0.561614722587928,0.519650157465601
5000,0.55954219425359,0.510653018260034
10000,0.55836118007935,0.537678787769199
10000,0.574454985898752,0.52928384513168
10000,0.57828300802752,0.550203967689357
10000,0.567496108287781,0.529480472851059
10000,0.565217491391684,0.554639235146784
10000,0.578222403991246,0.541583739874553
10000,0.567592227706528,0.536550528326829
10000,0.555285215033953,0.535621773431251
10000,0.549920711924274,0.537079271990081
10000,0.577789124381091,0.529614227610731
10000,0.565815359753967,0.539016325030958
10000,0.57310782301406,0.544932654195476
10000,0.560652061266897,0.541184793653583
10000,0.55198932802732,0.54734775772866
10000,0.565793524912588,0.527629164610841
10000,0.56765783163811,0.527104501333939
10000,0.560012900769841,0.542493449830764
10000,0.567984028849076,0.539146453099564
10000,0.574746085063553,0.547690884314056
10000,0.555875480675241,0.517007610440437
