	n train	train time	train score	test score
0	50	0.12	0.7366818873668188	0.5239883505211546
1	50	0.12	0.6984615384615385	0.5444691375209698
2	50	0.12	0.7285491419656787	0.5517878614062414
3	50	0.12	0.6890243902439024	0.5013817856294295
4	50	0.33	0.9327217125382263	0.5044033542051163
5	50	0.12	0.6494345718901454	0.5136798577294797
6	50	0.12	0.6807228915662651	0.5184201084308723
7	50	0.15	0.8395061728395061	0.506527332115746
8	50	0.32	0.955177743431221	0.5980947798142899
9	50	0.12	0.6597444089456869	0.51904560192574
10	500	0.89	0.7489979885271549	0.6446854952708492
11	500	1.12	0.7921438797423049	0.6631959027626113
12	500	1.63	0.7966625557636383	0.6293274549944681
13	500	1.33	0.794174322204795	0.6534976036249223
14	500	1.25	0.7675195162673164	0.6504238355921098
15	500	1.06	0.7632245189730148	0.6487180533322453
16	500	1.62	0.8150345302832831	0.6545346928391945
17	500	0.9	0.7468504944385075	0.6491740485898947
18	500	1.31	0.7930154631252113	0.6574941620607145
19	500	0.95	0.7105904024477817	0.6290088583078736
20	1000	2.73	0.7847947828122817	0.6646184879677252
21	1000	2.75	0.7895024736301689	0.6713360181054117
22	1000	2.62	0.7759554756322414	0.6691277410714929
23	1000	2.24	0.7660397277607649	0.6606897288268202
24	1000	2.24	0.7627131959850506	0.6684416482068587
25	1000	1.91	0.7340211174160085	0.6459448821732254
26	1000	3.32	0.8171588779396651	0.6734323963030785
27	1000	3.02	0.7996531971362262	0.6707348243578267
28	1000	3.63	0.8344850417430878	0.6706436253062968
29	1000	2.7	0.7782236541467142	0.6776887520369789
30	2000	4.14	0.750193749113451	0.6748357817078703
31	2000	7.71	0.7661508251905185	0.6944294779334295
32	2000	7.09	0.7727972993013057	0.6878856459892817
33	2000	4.05	0.7578520103945281	0.6792487358131476
34	2000	4.9	0.7482611281274992	0.6814729126817081
35	2000	6.62	0.7754589104183106	0.6931331914148093
36	2000	5.96	0.7646681206224839	0.6827622992720875
37	2000	7.79	0.7796789940689798	0.6836370901742622
38	2000	5.05	0.7700823044881329	0.6827136997775223
39	2000	4.42	0.7572267160402206	0.6887214372970522
40	5000	13.03	0.7572379069054436	0.7034875837291292
41	5000	13.69	0.7551362361388476	0.7017251020589386
42	5000	15.16	0.7652692543967979	0.7063720537306412
43	5000	17.22	0.7635508767424677	0.6952259696499157
44	5000	17.16	0.7634623328878962	0.7089874265307641
45	5000	19.92	0.77090408509114	0.7026688922435207
46	5000	12.83	0.7480759255905426	0.6953087687888045
47	5000	10.76	0.7475076440148289	0.692186701258307
48	5000	16.7	0.7633799028422631	0.7006139136152985
49	5000	13.72	0.7488521067591216	0.6995087251092589
