"","mirna.names"
"81","hsa.miR.125b.2..3"
"82","hsa.miR.126.1"
"83","hsa.miR.126..1"
"84","hsa.miR.1263.3p.1"
"85","hsa.miR.1263.5p.1"
"86","hsa.miR.1264.1"
"87","hsa.miR.1264..1"
"88","hsa.miR.1266.1"
"89","hsa.miR.1266..1"
"90","hsa.miR.1269.1"
"91","hsa.miR.1269..1"
"92","hsa.miR.127.3p.1"
"93","hsa.miR.127.5p.1"
"94","hsa.miR.1270.2..1"
"95","hsa.miR.1270..2..1"
"96","hsa.miR.1271.1"
"97","hsa.miR.1271..1"
"98","hsa.miR.1277.3p.1"
"99","hsa.miR.1277.5p.1"
"100","hsa.miR.1278.1"
"101","hsa.miR.1278..1"
"102","hsa.miR.128.1..1"
"103","hsa.miR.128.2..2"
"104","hsa.miR.128.2..3"
"105","hsa.miR.1283.1.3p.1"
"106","hsa.miR.1283.2.3p.1"
"107","hsa.miR.1283.5p.2..1"
"108","hsa.miR.1284.3p.1"
"109","hsa.miR.1284.5p.1"
"110","hsa.miR.1286.1"
"111","hsa.miR.1286..1"
"112","hsa.miR.1287.1"
"113","hsa.miR.1287..1"
"114","hsa.miR.1289.3p.1"
"115","hsa.miR.1289.5p.1"
"116","hsa.miR.129.1.3p.1"
"117","hsa.miR.129.2.3p.1"
"118","hsa.miR.129.5p.2..1"
"119","hsa.miR.1293.3p.1"
"120","hsa.miR.1293.5p.1"
"121","hsa.miR.1294.3p.1"
"122","hsa.miR.1294.5p.1"
"123","hsa.miR.1295.1"
"124","hsa.miR.1295..1"
"125","hsa.miR.1296.1"
"126","hsa.miR.1296..1"
"127","hsa.miR.1298.3p.1"
"128","hsa.miR.1298.5p.1"
"129","hsa.miR.1301.1"
"130","hsa.miR.1301..1"
"131","hsa.miR.1303.3p.1"
"132","hsa.miR.1303.5p.1"
"133","hsa.miR.1304.3p.1"
"134","hsa.miR.1304.5p.1"
"135","hsa.miR.1305.1"
"136","hsa.miR.1305..1"
"137","hsa.miR.1306.3p.1"
"138","hsa.miR.1306.5p.1"
"139","hsa.miR.1307.1"
"140","hsa.miR.1307..1"
"141","hsa.miR.130a.1"
"142","hsa.miR.130a..1"
"143","hsa.miR.130b.3p.1"
"144","hsa.miR.130b.5p.1"
"145","hsa.miR.132.3p.1"
"146","hsa.miR.132.5p.1"
"147","hsa.miR.1323.1"
"148","hsa.miR.1323..1"
"149","hsa.miR.133a.2..1"
"150","hsa.miR.133a..2..1"
"151","hsa.miR.133b.1"
"152","hsa.miR.133b..1"
"153","hsa.miR.134.1"
"154","hsa.miR.134..1"
"155","hsa.miR.135a.1..1"
"156","hsa.miR.135a.2..2"
"157","hsa.miR.135a.2..3"
"158","hsa.miR.135b.1"
"159","hsa.miR.135b..1"
"160","hsa.miR.136.3p.1"
"161","hsa.miR.136.5p.1"
"162","hsa.miR.137.1"
"163","hsa.miR.137..1"
"164","hsa.miR.138.1..1"
"165","hsa.miR.138.2..2"
"166","hsa.miR.138.2..3"
"167","hsa.miR.139.1"
"168","hsa.miR.139..1"
"169","hsa.miR.140.3p.1"
"170","hsa.miR.140.5p.1"
"171","hsa.miR.141.1"
"172","hsa.miR.141..1"
"173","hsa.miR.142.3p.1"
"174","hsa.miR.142.5p.1"
"175","hsa.miR.143.1"
"176","hsa.miR.143..1"
"177","hsa.miR.144.1"
"178","hsa.miR.144..1"
"179","hsa.miR.145.1"
"180","hsa.miR.145..1"
"181","hsa.miR.1468.1"
"182","hsa.miR.1468..1"
"183","hsa.miR.146a.1"
"184","hsa.miR.146a..1"
"185","hsa.miR.146b.1"
"186","hsa.miR.146b..1"
"187","hsa.miR.147.1"
"188","hsa.miR.147..1"
"189","hsa.miR.148a.1"
"190","hsa.miR.148a..1"
"191","hsa.miR.148b.1"
"192","hsa.miR.148b..1"
"193","hsa.miR.149.1"
"194","hsa.miR.149..1"
"195","hsa.miR.150.1"
"196","hsa.miR.150..1"
"197","hsa.miR.151.3p.1"
"198","hsa.miR.151.5p.1"
"199","hsa.miR.152.1"
"200","hsa.miR.152..1"
"201","hsa.miR.153.1..1"
"202","hsa.miR.153.2..2"
"203","hsa.miR.153.2..3"
"204","hsa.miR.1537.1"
"205","hsa.miR.1537..1"
"206","hsa.miR.154.3p.1"
"207","hsa.miR.154.5p.1"
"208","hsa.miR.155.1"
"209","hsa.miR.155..1"
"210","hsa.miR.15a.1"
"211","hsa.miR.15a..1"
"212","hsa.miR.15b.1"
"213","hsa.miR.15b..1"
"214","hsa.miR.16.1..1"
"215","hsa.miR.16.2..2"
"216","hsa.miR.16.2..3"
"217","hsa.miR.17.1"
"218","hsa.miR.17..1"
"219","hsa.miR.181a.1..1"
"220","hsa.miR.181a.2..2"
"221","hsa.miR.181a.2..3"
"222","hsa.miR.181b.1..1"
"223","hsa.miR.181b.2..2"
"224","hsa.miR.181b.2..3"
"225","hsa.miR.181c.1"
"226","hsa.miR.181c..1"
"227","hsa.miR.181d.1"
"228","hsa.miR.181d..1"
"229","hsa.miR.182.1"
"230","hsa.miR.182..1"
"231","hsa.miR.183.1"
"232","hsa.miR.183..1"
"233","hsa.miR.184.1"
"234","hsa.miR.184..1"
"235","hsa.miR.185.1"
"236","hsa.miR.185..1"
"237","hsa.miR.186.1"
"238","hsa.miR.186..1"
"239","hsa.miR.187.1"
