"","mirna.names"
"834","hsa.miR.524..1"
"835","hsa.miR.525.3p.1"
"836","hsa.miR.525.5p.1"
"837","hsa.miR.526a.1.3p.1"
"838","hsa.miR.526a.2.3p.1"
"839","hsa.miR.526a.5p.2..1"
"840","hsa.miR.526b.3p.1"
"841","hsa.miR.526b.5p.1"
"842","hsa.miR.527.3p.1"
"843","hsa.miR.527.5p.1"
"844","hsa.miR.532.3p.1"
"845","hsa.miR.532.5p.1"
"846","hsa.miR.539.1"
"847","hsa.miR.539..1"
"848","hsa.miR.541.3p.1"
"849","hsa.miR.541.5p.1"
"850","hsa.miR.542.1"
"851","hsa.miR.542..1"
"852","hsa.miR.543.1"
"853","hsa.miR.543..1"
"854","hsa.miR.544.3p.1"
"855","hsa.miR.544.5p.1"
"856","hsa.miR.545.3p.1"
"857","hsa.miR.545.5p.1"
"858","hsa.miR.549.3p.1"
"859","hsa.miR.549.5p.1"
"860","hsa.miR.550.3p.2..1"
"861","hsa.miR.550.5p.2..1"
"862","hsa.miR.551a.1"
"863","hsa.miR.551a..1"
"864","hsa.miR.551b.1"
"865","hsa.miR.551b..1"
"866","hsa.miR.552.3p.1"
"867","hsa.miR.552.5p.1"
"868","hsa.miR.556.3p.1"
"869","hsa.miR.556.5p.1"
"870","hsa.miR.559.3p.1"
"871","hsa.miR.559.5p.1"
"872","hsa.miR.561.1"
"873","hsa.miR.561..1"
"874","hsa.miR.570.3p.1"
"875","hsa.miR.570.5p.1"
"876","hsa.miR.574.3p.1"
"877","hsa.miR.574.5p.1"
"878","hsa.miR.576.3p.1"
"879","hsa.miR.576.5p.1"
"880","hsa.miR.577.1"
"881","hsa.miR.577..1"
"882","hsa.miR.579.3p.1"
"883","hsa.miR.579.5p.1"
"884","hsa.miR.580.1"
"885","hsa.miR.580..1"
"886","hsa.miR.581.1"
"887","hsa.miR.581..1"
"888","hsa.miR.582.1"
"889","hsa.miR.582..1"
"890","hsa.miR.584.1"
"891","hsa.miR.584..1"
"892","hsa.miR.585.1"
"893","hsa.miR.585..1"
"894","hsa.miR.588.1"
"895","hsa.miR.588..1"
"896","hsa.miR.589.1"
"897","hsa.miR.589..1"
"898","hsa.miR.590.3p.1"
"899","hsa.miR.590.5p.1"
"900","hsa.miR.592.1"
"901","hsa.miR.592..1"
"902","hsa.miR.597.1"
"903","hsa.miR.597..1"
"904","hsa.miR.598.1"
"905","hsa.miR.598..1"
"906","hsa.miR.599.1"
"907","hsa.miR.599..1"
"908","hsa.miR.605.3p.1"
"909","hsa.miR.605.5p.1"
"910","hsa.miR.610.1"
"911","hsa.miR.610..1"
"912","hsa.miR.615.3p.1"
"913","hsa.miR.615.5p.1"
"914","hsa.miR.616.3p.1"
"915","hsa.miR.616.5p.1"
"916","hsa.miR.618.1"
"917","hsa.miR.624.3p.1"
"918","hsa.miR.624.5p.1"
"919","hsa.miR.625.3p.1"
"920","hsa.miR.625.5p.1"
"921","hsa.miR.627.3p.1"
"922","hsa.miR.627.5p.1"
"923","hsa.miR.628.1"
"924","hsa.miR.628..1"
"925","hsa.miR.629.1"
"926","hsa.miR.629..1"
"927","hsa.miR.641.1"
"928","hsa.miR.641..1"
"929","hsa.miR.642.3p.1"
"930","hsa.miR.642.5p.1"
"931","hsa.miR.643.1"
"932","hsa.miR.643..1"
"933","hsa.miR.651.1"
"934","hsa.miR.651..1"
"935","hsa.miR.652.1"
"936","hsa.miR.652..1"
"937","hsa.miR.653.3p.1"
"938","hsa.miR.653.5p.1"
"939","hsa.miR.654.1"
"940","hsa.miR.654..1"
"941","hsa.miR.655.1"
"942","hsa.miR.655..1"
"943","hsa.miR.656.1"
"944","hsa.miR.656..1"
"945","hsa.miR.659.1"
"946","hsa.miR.659..1"
"947","hsa.miR.660.1"
"948","hsa.miR.660..1"
"949","hsa.miR.665.1"
"950","hsa.miR.665..1"
"951","hsa.miR.668.1"
"952","hsa.miR.668..1"
"953","hsa.miR.670.1"
"954","hsa.miR.670..1"
"955","hsa.miR.671.1"
"956","hsa.miR.671..1"
"957","hsa.miR.675.1"
"958","hsa.miR.675..1"
"959","hsa.miR.676.1"
"960","hsa.miR.676..1"
"961","hsa.miR.7.1..1"
"962","hsa.miR.7.2..1"
"963","hsa.miR.7.3..2"
"964","hsa.miR.7.3..3"
"965","hsa.miR.708.1"
"966","hsa.miR.708..1"
"967","hsa.miR.744.1"
"968","hsa.miR.744..1"
"969","hsa.miR.758.1"
"970","hsa.miR.758..1"
"971","hsa.miR.760.1"
"972","hsa.miR.760..1"
"973","hsa.miR.766.1"
"974","hsa.miR.766..1"
"975","hsa.miR.767.1"
"976","hsa.miR.767..1"
"977","hsa.miR.769.1"
"978","hsa.miR.769..1"
"979","hsa.miR.770.3p.1"
"980","hsa.miR.770.5p.1"
"981","hsa.miR.873.1"
"982","hsa.miR.873..1"
"983","hsa.miR.874.1"
"984","hsa.miR.874..1"
"985","hsa.miR.875.3p.1"
"986","hsa.miR.875.5p.1"
"987","hsa.miR.876.3p.1"
"988","hsa.miR.876.5p.1"
"989","hsa.miR.885.1"
"990","hsa.miR.885..1"
"991","hsa.miR.887.1"
"992","hsa.miR.887..1"
"993","hsa.miR.888.1"
"994","hsa.miR.888..1"
"995","hsa.miR.889.1"
"996","hsa.miR.889..1"
"997","hsa.miR.890.3p.1"
"998","hsa.miR.890.5p.1"
"999","hsa.miR.891a.1"
"1000","hsa.miR.891a..1"
"1001","hsa.miR.891b.1"
"1002","hsa.miR.891b..1"
"1003","hsa.miR.892a.1"
"1004","hsa.miR.892a..1"
"1005","hsa.miR.892b.1"
"1006","hsa.miR.892b..1"
"1007","hsa.miR.9.3..1"
"1008","hsa.miR.9..3..1"
"1009","hsa.miR.92a.1..1"
"1010","hsa.miR.92a.2..2"
"1011","hsa.miR.92a.2..3"
"1012","hsa.miR.92b.1"
"1013","hsa.miR.92b..1"
"1014","hsa.miR.93.1"
"1015","hsa.miR.93..1"
"1016","hsa.miR.934.1"
"1017","hsa.miR.934..1"
"1018","hsa.miR.937.1"
"1019","hsa.miR.937..1"
"1020","hsa.miR.942.1"
"1021","hsa.miR.942..1"
"1022","hsa.miR.944.1"
"1023","hsa.miR.944..1"
"1024","hsa.miR.95.1"
"1025","hsa.miR.95..1"
"1026","hsa.miR.96.1"
"1027","hsa.miR.96..1"
"1028","hsa.miR.98.1"
"1029","hsa.miR.98..1"
"1030","hsa.miR.99a.1"
"1031","hsa.miR.99a..1"
"1032","hsa.miR.99b.1"
"1033","hsa.miR.99b..1"
"1034","hsa.let.7a.2."
"1035","hsa.let.7a.3."
"1036","hsa.let.7a..2."
"1037","hsa.let.7b"
"1038","hsa.let.7b."
"1039","hsa.let.7c"
"1040","hsa.let.7c."
"1041","hsa.let.7d"
"1042","hsa.let.7d."
"1043","hsa.let.7e"
"1044","hsa.let.7e."
"1045","hsa.let.7f.1."
"1046","hsa.let.7f.2."
"1047","hsa.let.7f.2..1"
"1048","hsa.let.7g"
"1049","hsa.let.7g."
"1050","hsa.let.7i"
"1051","hsa.let.7i."
"1052","hsa.miR.1.1."
"1053","hsa.miR.1.2."
"1054","hsa.miR.1.2..1"
"1055","hsa.miR.100"
"1056","hsa.miR.100."
"1057","hsa.miR.101.1."
"1058","hsa.miR.101.2."
"1059","hsa.miR.101.2..1"
"1060","hsa.miR.103.1."
"1061","hsa.miR.103.2."
"1062","hsa.miR.103.2..1"
"1063","hsa.miR.105.2."
"1064","hsa.miR.105..2."
"1065","hsa.miR.106a"
"1066","hsa.miR.106a."
"1067","hsa.miR.106b"
"1068","hsa.miR.106b."
"1069","hsa.miR.107"
"1070","hsa.miR.107."
"1071","hsa.miR.10a"
"1072","hsa.miR.10a."
"1073","hsa.miR.10b"
"1074","hsa.miR.10b."
"1075","hsa.miR.1179"
"1076","hsa.miR.1179."
"1077","hsa.miR.1180"
"1078","hsa.miR.1180."
"1079","hsa.miR.1185.1.3p"
"1080","hsa.miR.1185.2.3p"
"1081","hsa.miR.1185.5p.2."
"1082","hsa.miR.1193.3p"
"1083","hsa.miR.1193.5p"
"1084","hsa.miR.1197"
"1085","hsa.miR.1197."
"1086","hsa.miR.122"
"1087","hsa.miR.122."
"1088","hsa.miR.124.3."
"1089","hsa.miR.124..3."
"1090","hsa.miR.1245.3p"
"1091","hsa.miR.1245.5p"
"1092","hsa.miR.1247"
"1093","hsa.miR.1247."
"1094","hsa.miR.1249"
"1095","hsa.miR.1249."
"1096","hsa.miR.1250"
"1097","hsa.miR.1250."
"1098","hsa.miR.1251"
"1099","hsa.miR.1251."
"1100","hsa.miR.1252"
"1101","hsa.miR.1252."
"1102","hsa.miR.1255a.3p"
"1103","hsa.miR.1255a.5p"
"1104","hsa.miR.1255b"
"1105","hsa.miR.1255b."
"1106","hsa.miR.1256.3p"
"1107","hsa.miR.1256.5p"
"1108","hsa.miR.1258.3p"
"1109","hsa.miR.1258.5p"
"1110","hsa.miR.125a"
"1111","hsa.miR.125a."
"1112","hsa.miR.125b.1."
"1113","hsa.miR.125b.2."
"1114","hsa.miR.125b.2..1"
"1115","hsa.miR.126"
"1116","hsa.miR.126."
"1117","hsa.miR.1263.3p"
"1118","hsa.miR.1263.5p"
"1119","hsa.miR.1264"
"1120","hsa.miR.1264."
"1121","hsa.miR.1266"
"1122","hsa.miR.1266."
"1123","hsa.miR.1269"
"1124","hsa.miR.1269."
"1125","hsa.miR.127.3p"
"1126","hsa.miR.127.5p"
"1127","hsa.miR.1270.2."
"1128","hsa.miR.1270..2."
"1129","hsa.miR.1271"
"1130","hsa.miR.1271."
"1131","hsa.miR.1277.3p"
"1132","hsa.miR.1277.5p"
"1133","hsa.miR.1278"
"1134","hsa.miR.1278."
"1135","hsa.miR.128.1."
"1136","hsa.miR.128.2."
"1137","hsa.miR.128.2..1"
"1138","hsa.miR.1283.1.3p"
"1139","hsa.miR.1283.2.3p"
"1140","hsa.miR.1283.5p.2."
"1141","hsa.miR.1284.3p"
"1142","hsa.miR.1284.5p"
"1143","hsa.miR.1286"
"1144","hsa.miR.1286."
"1145","hsa.miR.1287"
"1146","hsa.miR.1287."
"1147","hsa.miR.1289.3p"
"1148","hsa.miR.1289.5p"
"1149","hsa.miR.129.1.3p"
"1150","hsa.miR.129.2.3p"
"1151","hsa.miR.129.5p.2."
"1152","hsa.miR.1293.3p"
"1153","hsa.miR.1293.5p"
"1154","hsa.miR.1294.3p"
"1155","hsa.miR.1294.5p"
"1156","hsa.miR.1295"
"1157","hsa.miR.1295."
"1158","hsa.miR.1296"
"1159","hsa.miR.1296."
"1160","hsa.miR.1298.3p"
"1161","hsa.miR.1298.5p"
"1162","hsa.miR.1301"
"1163","hsa.miR.1301."
"1164","hsa.miR.1303.3p"
"1165","hsa.miR.1303.5p"
"1166","hsa.miR.1304.3p"
"1167","hsa.miR.1304.5p"
"1168","hsa.miR.1305"
"1169","hsa.miR.1305."
"1170","hsa.miR.1306.3p"
"1171","hsa.miR.1306.5p"
"1172","hsa.miR.1307"
"1173","hsa.miR.1307."
"1174","hsa.miR.130a"
"1175","hsa.miR.130a."
"1176","hsa.miR.130b.3p"
"1177","hsa.miR.130b.5p"
"1178","hsa.miR.132.3p"
"1179","hsa.miR.132.5p"
"1180","hsa.miR.1323"
"1181","hsa.miR.1323."
"1182","hsa.miR.133a.2."
"1183","hsa.miR.133a..2."
"1184","hsa.miR.133b"
"1185","hsa.miR.133b."
"1186","hsa.miR.134"
"1187","hsa.miR.134."
"1188","hsa.miR.135a.1."
"1189","hsa.miR.135a.2."
"1190","hsa.miR.135a.2..1"
"1191","hsa.miR.135b"
"1192","hsa.miR.135b."
"1193","hsa.miR.136.3p"
"1194","hsa.miR.136.5p"
"1195","hsa.miR.137"
"1196","hsa.miR.137."
"1197","hsa.miR.138.1."
"1198","hsa.miR.138.2."
"1199","hsa.miR.138.2..1"
"1200","hsa.miR.139"
"1201","hsa.miR.139."
"1202","hsa.miR.140.3p"
"1203","hsa.miR.140.5p"
"1204","hsa.miR.141"
"1205","hsa.miR.141."
"1206","hsa.miR.142.3p"
"1207","hsa.miR.142.5p"
"1208","hsa.miR.143"
"1209","hsa.miR.143."
"1210","hsa.miR.144"
"1211","hsa.miR.144."
"1212","hsa.miR.145"
"1213","hsa.miR.145."
"1214","hsa.miR.1468"
"1215","hsa.miR.1468."
"1216","hsa.miR.146a"
"1217","hsa.miR.146a."
"1218","hsa.miR.146b"
"1219","hsa.miR.146b."
"1220","hsa.miR.147"
"1221","hsa.miR.147."
"1222","hsa.miR.148a"
"1223","hsa.miR.148a."
"1224","hsa.miR.148b"
"1225","hsa.miR.148b."
"1226","hsa.miR.149"
"1227","hsa.miR.149."
"1228","hsa.miR.150"
"1229","hsa.miR.150."
"1230","hsa.miR.151.3p"
"1231","hsa.miR.151.5p"
"1232","hsa.miR.152"
"1233","hsa.miR.152."
"1234","hsa.miR.153.1."
"1235","hsa.miR.153.2."
"1236","hsa.miR.153.2..1"
"1237","hsa.miR.1537"
"1238","hsa.miR.1537."
"1239","hsa.miR.154.3p"
"1240","hsa.miR.154.5p"
"1241","hsa.miR.155"
"1242","hsa.miR.155."
"1243","hsa.miR.15a"
"1244","hsa.miR.15a."
"1245","hsa.miR.15b"
"1246","hsa.miR.15b."
"1247","hsa.miR.16.1."
"1248","hsa.miR.16.2."
"1249","hsa.miR.16.2..1"
"1250","hsa.miR.17"
"1251","hsa.miR.17."
"1252","hsa.miR.181a.1."
"1253","hsa.miR.181a.2."
"1254","hsa.miR.181a.2..1"
"1255","hsa.miR.181b.1."
"1256","hsa.miR.181b.2."
"1257","hsa.miR.181b.2..1"
"1258","hsa.miR.181c"
"1259","hsa.miR.181c."
"1260","hsa.miR.181d"
"1261","hsa.miR.181d."
"1262","hsa.miR.182"
"1263","hsa.miR.182."
"1264","hsa.miR.183"
"1265","hsa.miR.183."
"1266","hsa.miR.184"
"1267","hsa.miR.184."
"1268","hsa.miR.185"
"1269","hsa.miR.185."
"1270","hsa.miR.186"
"1271","hsa.miR.186."
"1272","hsa.miR.187"
"1273","hsa.miR.187."
"1274","hsa.miR.188"
"1275","hsa.miR.188."
"1276","hsa.miR.18a"
"1277","hsa.miR.18a."
"1278","hsa.miR.18b"
"1279","hsa.miR.18b."
"1280","hsa.miR.1908"
"1281","hsa.miR.1908."
"1282","hsa.miR.190a"
"1283","hsa.miR.190a."
"1284","hsa.miR.190b"
"1285","hsa.miR.190b."
"1286","hsa.miR.191"
"1287","hsa.miR.191."
"1288","hsa.miR.1910"
"1289","hsa.miR.1910."
"1290","hsa.miR.1911"
"1291","hsa.miR.1911."
"1292","hsa.miR.1912.3p"
"1293","hsa.miR.1912.5p"
"1294","hsa.miR.1914.3p"
"1295","hsa.miR.1914.5p"
"1296","hsa.miR.192"
"1297","hsa.miR.192."
"1298","hsa.miR.193a.3p"
"1299","hsa.miR.193a.5p"
"1300","hsa.miR.193b"
"1301","hsa.miR.193b."
"1302","hsa.miR.194.1."
"1303","hsa.miR.194.2."
"1304","hsa.miR.194.2..1"
"1305","hsa.miR.195"
"1306","hsa.miR.195."
"1307","hsa.miR.196a.1."
"1308","hsa.miR.196a.2."
"1309","hsa.miR.196a.2..1"
"1310","hsa.miR.196b"
"1311","hsa.miR.196b."
"1312","hsa.miR.197"
"1313","hsa.miR.197."
"1314","hsa.miR.199a.3p.2."
"1315","hsa.miR.199a.5p.2."
"1316","hsa.miR.199b.3p"
"1317","hsa.miR.199b.5p"
"1318","hsa.miR.19a"
"1319","hsa.miR.19a."
"1320","hsa.miR.19b.1."
"1321","hsa.miR.19b.2."
"1322","hsa.miR.19b.2..1"
"1323","hsa.miR.200a"
"1324","hsa.miR.200a."
"1325","hsa.miR.200b"
"1326","hsa.miR.200b."
"1327","hsa.miR.200c"
"1328","hsa.miR.200c."
"1329","hsa.miR.202.3p"
"1330","hsa.miR.202.5p"
"1331","hsa.miR.203"
"1332","hsa.miR.203."
"1333","hsa.miR.204"
"1334","hsa.miR.204."
"1335","hsa.miR.205"
"1336","hsa.miR.205."
"1337","hsa.miR.206"
"1338","hsa.miR.206."
"1339","hsa.miR.208a"
"1340","hsa.miR.208a."
"1341","hsa.miR.208b"
"1342","hsa.miR.208b."
"1343","hsa.miR.20a"
"1344","hsa.miR.20a."
"1345","hsa.miR.20b"
"1346","hsa.miR.20b."
"1347","hsa.miR.21"
"1348","hsa.miR.21."
"1349","hsa.miR.210"
"1350","hsa.miR.210."
"1351","hsa.miR.211"
"1352","hsa.miR.211."
"1353","hsa.miR.2110"
"1354","hsa.miR.2110."
"1355","hsa.miR.2114"
"1356","hsa.miR.2114."
"1357","hsa.miR.2115"
"1358","hsa.miR.2115."
"1359","hsa.miR.2116.3p"
"1360","hsa.miR.2116.5p"
"1361","hsa.miR.212.3p"
"1362","hsa.miR.212.5p"
"1363","hsa.miR.214.3p"
"1364","hsa.miR.214.5p"
"1365","hsa.miR.215"
"1366","hsa.miR.215."
"1367","hsa.miR.216a"
"1368","hsa.miR.216a."
"1369","hsa.miR.216b"
"1370","hsa.miR.216b."
"1371","hsa.miR.217"
"1372","hsa.miR.217."
"1373","hsa.miR.218.1."
"1374","hsa.miR.218.2."
"1375","hsa.miR.218.2..1"
"1376","hsa.miR.219.1.3p"
"1377","hsa.miR.219.2.3p"
"1378","hsa.miR.219.5p.2."
"1379","hsa.miR.22"
"1380","hsa.miR.22."
"1381","hsa.miR.221"
"1382","hsa.miR.221."
"1383","hsa.miR.222"
"1384","hsa.miR.222."
"1385","hsa.miR.223"
"1386","hsa.miR.223."
"1387","hsa.miR.224"
"1388","hsa.miR.224."
"1389","hsa.miR.2276.3p"
"1390","hsa.miR.2276.5p"
"1391","hsa.miR.2277"
"1392","hsa.miR.2277."
"1393","hsa.miR.2278"
"1394","hsa.miR.2278."
"1395","hsa.miR.2355.3p"
"1396","hsa.miR.2355.5p"
"1397","hsa.miR.23a"
"1398","hsa.miR.23a."
"1399","hsa.miR.23b"
"1400","hsa.miR.23b."
"1401","hsa.miR.24.1."
"1402","hsa.miR.24.2."
"1403","hsa.miR.24.2..1"
"1404","hsa.miR.25"
"1405","hsa.miR.25."
"1406","hsa.miR.26a.1."
"1407","hsa.miR.26a.2."
"1408","hsa.miR.26a.2..1"
"1409","hsa.miR.26b"
"1410","hsa.miR.26b."
"1411","hsa.miR.27a"
"1412","hsa.miR.27a."
"1413","hsa.miR.27b"
"1414","hsa.miR.27b."
"1415","hsa.miR.28.3p"
"1416","hsa.miR.28.5p"
"1417","hsa.miR.296.3p"
"1418","hsa.miR.296.5p"
"1419","hsa.miR.299.3p"
"1420","hsa.miR.299.5p"
"1421","hsa.miR.29a"
"1422","hsa.miR.29a."
"1423","hsa.miR.29b.1."
"1424","hsa.miR.29b.2."
"1425","hsa.miR.29b.2..1"
"1426","hsa.miR.29c"
"1427","hsa.miR.29c."
"1428","hsa.miR.301a"
"1429","hsa.miR.301a."
"1430","hsa.miR.301b"
"1431","hsa.miR.301b."
"1432","hsa.miR.302a.3p"
"1433","hsa.miR.302a.5p"
"1434","hsa.miR.302b"
"1435","hsa.miR.302b."
"1436","hsa.miR.302c"
"1437","hsa.miR.302c."
"1438","hsa.miR.302d"
"1439","hsa.miR.302d."
"1440","hsa.miR.3065.3p"
"1441","hsa.miR.3065.5p"
"1442","hsa.miR.3074.3p"
"1443","hsa.miR.3074.5p"
"1444","hsa.miR.30a"
"1445","hsa.miR.30a."
"1446","hsa.miR.30b"
"1447","hsa.miR.30b."
"1448","hsa.miR.30c.1."
"1449","hsa.miR.30c.2."
"1450","hsa.miR.30c.2..1"
"1451","hsa.miR.30d"
"1452","hsa.miR.30d."
"1453","hsa.miR.30e"
"1454","hsa.miR.30e."
"1455","hsa.miR.31.3p"
"1456","hsa.miR.31.5p"
"1457","hsa.miR.3115"
"1458","hsa.miR.3115."
"1459","hsa.miR.3117"
"1460","hsa.miR.3117."
"1461","hsa.miR.3120"
"1462","hsa.miR.3120."
"1463","hsa.miR.3124"
"1464","hsa.miR.3124."
"1465","hsa.miR.3126.3p"
"1466","hsa.miR.3126.5p"
"1467","hsa.miR.3127.3p"
"1468","hsa.miR.3127.5p"
"1469","hsa.miR.3129.3p"
"1470","hsa.miR.3129.5p"
"1471","hsa.miR.3130.3p"
"1472","hsa.miR.3130.5p"
"1473","hsa.miR.3136"
"1474","hsa.miR.3136."
"1475","hsa.miR.3138.3p"
"1476","hsa.miR.3138.5p"
"1477","hsa.miR.3139"
"1478","hsa.miR.3139."
"1479","hsa.miR.3140.3p"
"1480","hsa.miR.3140.5p"
"1481","hsa.miR.3143.3p"
"1482","hsa.miR.3143.5p"
"1483","hsa.miR.3144"
"1484","hsa.miR.3144."
"1485","hsa.miR.3145.3p"
"1486","hsa.miR.3145.5p"
"1487","hsa.miR.3146.3p"
"1488","hsa.miR.3146.5p"
"1489","hsa.miR.3149"
"1490","hsa.miR.3149."
"1491","hsa.miR.3150.3p"
"1492","hsa.miR.3150.5p"
"1493","hsa.miR.3151"
"1494","hsa.miR.3151."
"1495","hsa.miR.3152"
"1496","hsa.miR.3152."
"1497","hsa.miR.3155.3p"
"1498","hsa.miR.3155.5p"
"1499","hsa.miR.3157.3p"
"1500","hsa.miR.3157.5p"
"1501","hsa.miR.3158"
"1502","hsa.miR.3158."
"1503","hsa.miR.3170"
"1504","hsa.miR.3170."
"1505","hsa.miR.3171.3p"
"1506","hsa.miR.3171.5p"
"1507","hsa.miR.3173"
"1508","hsa.miR.3173."
"1509","hsa.miR.3174"
"1510","hsa.miR.3174."
"1511","hsa.miR.3175"
"1512","hsa.miR.3175."
"1513","hsa.miR.3176"
"1514","hsa.miR.3176."
"1515","hsa.miR.3177"
"1516","hsa.miR.3177."
"1517","hsa.miR.3183"
"1518","hsa.miR.3183."
"1519","hsa.miR.3187"
"1520","hsa.miR.3187."
"1521","hsa.miR.3189"
"1522","hsa.miR.3189."
"1523","hsa.miR.3193"
"1524","hsa.miR.3193."
"1525","hsa.miR.3194.3p"
"1526","hsa.miR.3194.5p"
"1527","hsa.miR.3198"
"1528","hsa.miR.3198."
"1529","hsa.miR.32"
"1530","hsa.miR.32."
"1531","hsa.miR.320.RNASEN"
"1532","hsa.miR.320..RNASEN"
"1533","hsa.miR.3200"
"1534","hsa.miR.3200."
"1535","hsa.miR.323a"
"1536","hsa.miR.323a."
"1537","hsa.miR.323b"
"1538","hsa.miR.323b."
"1539","hsa.miR.324"
"1540","hsa.miR.324."
"1541","hsa.miR.325"
"1542","hsa.miR.325."
"1543","hsa.miR.326"
"1544","hsa.miR.326."
"1545","hsa.miR.328"
"1546","hsa.miR.328."
"1547","hsa.miR.329.2."
"1548","hsa.miR.329..2."
"1549","hsa.miR.330.3p"
"1550","hsa.miR.330.5p"
"1551","hsa.miR.331"
"1552","hsa.miR.331."
"1553","hsa.miR.335.3p"
"1554","hsa.miR.335.5p"
"1555","hsa.miR.337"
"1556","hsa.miR.337."
"1557","hsa.miR.338.3p"
"1558","hsa.miR.338.5p"
"1559","hsa.miR.339.3p"
"1560","hsa.miR.339.5p"
"1561","hsa.miR.33a"
"1562","hsa.miR.33a."
"1563","hsa.miR.33b"
"1564","hsa.miR.33b."
"1565","hsa.miR.340"
"1566","hsa.miR.340."
"1567","hsa.miR.342"
"1568","hsa.miR.342."
"1569","hsa.miR.345"
"1570","hsa.miR.345."
"1571","hsa.miR.346"
"1572","hsa.miR.346."
"1573","hsa.miR.34a"
"1574","hsa.miR.34a."
"1575","hsa.miR.34b"
"1576","hsa.miR.34b."
"1577","hsa.miR.34c"
"1578","hsa.miR.34c."
"1579","hsa.miR.3605.3p"
"1580","hsa.miR.3605.5p"
"1581","hsa.miR.361.3p"
"1582","hsa.miR.361.5p"
"1583","hsa.miR.3611"
"1584","hsa.miR.3611."
"1585","hsa.miR.3612"
"1586","hsa.miR.3612."
"1587","hsa.miR.3613"
"1588","hsa.miR.3613."
"1589","hsa.miR.3614.3p"
"1590","hsa.miR.3614.5p"
"1591","hsa.miR.3617"
"1592","hsa.miR.3617."
"1593","hsa.miR.3619.3p"
"1594","hsa.miR.3619.5p"
"1595","hsa.miR.362.3p"
"1596","hsa.miR.362.5p"
"1597","hsa.miR.3622.3p"
"1598","hsa.miR.3622.5p"
"1599","hsa.miR.363"
"1600","hsa.miR.363."
"1601","hsa.miR.365.1."
"1602","hsa.miR.365.2."
"1603","hsa.miR.365.2..1"
"1604","hsa.miR.3657"
"1605","hsa.miR.3657."
"1606","hsa.miR.3659"
"1607","hsa.miR.3659."
"1608","hsa.miR.3664.3p"
"1609","hsa.miR.3664.5p"
"1610","hsa.miR.3667.3p"
"1611","hsa.miR.3667.5p"
"1612","hsa.miR.367"
"1613","hsa.miR.367."
"1614","hsa.miR.3677.3p"
"1615","hsa.miR.3677.5p"
"1616","hsa.miR.3679.3p"
"1617","hsa.miR.3679.5p"
"1618","hsa.miR.3680"
"1619","hsa.miR.3680."
"1620","hsa.miR.3681"
"1621","hsa.miR.3681."
"1622","hsa.miR.3682.3p"
"1623","hsa.miR.3682.5p"
"1624","hsa.miR.3688"
"1625","hsa.miR.3688."
"1626","hsa.miR.369"
"1627","hsa.miR.369."
"1628","hsa.miR.3691"
"1629","hsa.miR.3691."
"1630","hsa.miR.370"
"1631","hsa.miR.370."
"1632","hsa.miR.371"
"1633","hsa.miR.371."
"1634","hsa.miR.372"
"1635","hsa.miR.372."
"1636","hsa.miR.373"
"1637","hsa.miR.373."
"1638","hsa.miR.374a"
"1639","hsa.miR.374a."
"1640","hsa.miR.374b"
"1641","hsa.miR.374b."
"1642","hsa.miR.375"
"1643","hsa.miR.375."
"1644","hsa.miR.376a.1.5p"
"1645","hsa.miR.376a.2.5p"
"1646","hsa.miR.376a.3p.2."
"1647","hsa.miR.376b"
"1648","hsa.miR.376b."
"1649","hsa.miR.376c"
"1650","hsa.miR.376c."
"1651","hsa.miR.377"
"1652","hsa.miR.377."
"1653","hsa.miR.378"
"1654","hsa.miR.378."
"1655","hsa.miR.379"
"1656","hsa.miR.379."
"1657","hsa.miR.380.3p"
"1658","hsa.miR.380.5p"
"1659","hsa.miR.381"
"1660","hsa.miR.381."
"1661","hsa.miR.382.3p"
"1662","hsa.miR.382.5p"
"1663","hsa.miR.383"
"1664","hsa.miR.383."
"1665","hsa.miR.384.3p"
"1666","hsa.miR.384.5p"
"1667","hsa.miR.3909"
"1668","hsa.miR.3909."
"1669","hsa.miR.3910"
"1670","hsa.miR.3910."
"1671","hsa.miR.3912"
"1672","hsa.miR.3912."
"1673","hsa.miR.3919.3p"
"1674","hsa.miR.3919.5p"
"1675","hsa.miR.3922"
"1676","hsa.miR.3922."
"1677","hsa.miR.3928"
"1678","hsa.miR.3928."
"1679","hsa.miR.3934"
"1680","hsa.miR.3934."
"1681","hsa.miR.3938"
"1682","hsa.miR.3938."
"1683","hsa.miR.3939.3p"
"1684","hsa.miR.3939.5p"
"1685","hsa.miR.3940"
"1686","hsa.miR.3940."
"1687","hsa.miR.3942.3p"
"1688","hsa.miR.3942.5p"
"1689","hsa.miR.3944.3p"
"1690","hsa.miR.3944.5p"
"1691","hsa.miR.409.3p"
"1692","hsa.miR.409.5p"
"1693","hsa.miR.410"
"1694","hsa.miR.410."
"1695","hsa.miR.411"
"1696","hsa.miR.411."
"1697","hsa.miR.412.3p"
"1698","hsa.miR.412.5p"
"1699","hsa.miR.421"
"1700","hsa.miR.421."
"1701","hsa.miR.423.3p"
"1702","hsa.miR.423.5p"
"1703","hsa.miR.424"
"1704","hsa.miR.424."
"1705","hsa.miR.425"
"1706","hsa.miR.425."
"1707","hsa.miR.429"
"1708","hsa.miR.429."
"1709","hsa.miR.431.3p"
"1710","hsa.miR.431.5p"
"1711","hsa.miR.432"
"1712","hsa.miR.432."
"1713","hsa.miR.4326"
