"n.train","train.C","test.C"
100,0.615839781520255,0.544318051246697
100,0.628034814475492,0.517516324894031
100,0.599727705922396,0.521135747328123
100,0.656176053005206,0.54531016227414
100,0.719582850521437,0.537650811260574
100,0.582164069128746,0.551970584855797
100,0.636161784819795,0.580753809141941
100,0.592585929277573,0.557869790123738
100,0.586109277063755,0.561836805155944
100,0.616199354347274,0.58380714648916
100,0.649559332809502,0.620521659197978
100,0.620269423558897,0.600252033451713
100,0.589474180596599,0.572567964815532
100,0.612956298431947,0.592634365289446
100,0.606614141844196,0.620787685480516
100,0.655555586694729,0.675835918648742
100,0.624912868364986,0.618581739030817
100,0.609338497807307,0.609256431875669
100,0.626651570450789,0.60817125100702
100,0.615477473107058,0.630148384412703
500,0.635439566927419,0.652602550844536
500,0.626640523016938,0.647863443693436
500,0.615372934434188,0.643711687897363
500,0.626362815207896,0.618506157210266
500,0.62604296167152,0.641034530578283
500,0.626777399994416,0.646742502585315
500,0.624968614052046,0.642845686791156
500,0.62270435844398,0.650388533144954
500,0.614663430841553,0.618298998734031
500,0.629196680117828,0.643368927102113
500,0.615839781520255,0.544318051246697
500,0.628034814475492,0.517516324894031
500,0.599727705922396,0.521135747328123
500,0.656176053005206,0.54531016227414
500,0.719582850521437,0.537650811260574
500,0.582164069128746,0.551970584855797
500,0.636161784819795,0.580753809141941
500,0.592585929277573,0.557869790123738
500,0.586109277063755,0.561836805155944
500,0.616199354347274,0.58380714648916
1000,0.649559332809502,0.620521659197978
1000,0.620269423558897,0.600252033451713
1000,0.589474180596599,0.572567964815532
1000,0.612956298431947,0.592634365289446
1000,0.606614141844196,0.620787685480516
1000,0.655555586694729,0.675835918648742
1000,0.624912868364986,0.618581739030817
1000,0.609338497807307,0.609256431875669
1000,0.626651570450789,0.60817125100702
1000,0.615477473107058,0.630148384412703
1000,0.635439566927419,0.652602550844536
1000,0.626640523016938,0.647863443693436
1000,0.615372934434188,0.643711687897363
1000,0.626362815207896,0.618506157210266
1000,0.62604296167152,0.641034530578283
1000,0.626777399994416,0.646742502585315
1000,0.624968614052046,0.642845686791156
1000,0.62270435844398,0.650388533144954
1000,0.614663430841553,0.618298998734031
1000,0.629196680117828,0.643368927102113
2000,0.615839781520255,0.544318051246697
2000,0.628034814475492,0.517516324894031
2000,0.599727705922396,0.521135747328123
2000,0.656176053005206,0.54531016227414
2000,0.719582850521437,0.537650811260574
2000,0.582164069128746,0.551970584855797
2000,0.636161784819795,0.580753809141941
2000,0.592585929277573,0.557869790123738
2000,0.586109277063755,0.561836805155944
2000,0.616199354347274,0.58380714648916
2000,0.649559332809502,0.620521659197978
2000,0.620269423558897,0.600252033451713
2000,0.589474180596599,0.572567964815532
2000,0.612956298431947,0.592634365289446
2000,0.606614141844196,0.620787685480516
2000,0.655555586694729,0.675835918648742
2000,0.624912868364986,0.618581739030817
2000,0.609338497807307,0.609256431875669
2000,0.626651570450789,0.60817125100702
2000,0.615477473107058,0.630148384412703
5000,0.635439566927419,0.652602550844536
5000,0.626640523016938,0.647863443693436
5000,0.615372934434188,0.643711687897363
5000,0.626362815207896,0.618506157210266
5000,0.62604296167152,0.641034530578283
5000,0.626777399994416,0.646742502585315
5000,0.624968614052046,0.642845686791156
5000,0.62270435844398,0.650388533144954
5000,0.614663430841553,0.618298998734031
5000,0.629196680117828,0.643368927102113
5000,0.615839781520255,0.544318051246697
5000,0.628034814475492,0.517516324894031
5000,0.599727705922396,0.521135747328123
5000,0.656176053005206,0.54531016227414
5000,0.719582850521437,0.537650811260574
5000,0.582164069128746,0.551970584855797
5000,0.636161784819795,0.580753809141941
5000,0.592585929277573,0.557869790123738
5000,0.586109277063755,0.561836805155944
5000,0.616199354347274,0.58380714648916
10000,0.649559332809502,0.620521659197978
10000,0.620269423558897,0.600252033451713
10000,0.589474180596599,0.572567964815532
10000,0.612956298431947,0.592634365289446
10000,0.606614141844196,0.620787685480516
10000,0.655555586694729,0.675835918648742
10000,0.624912868364986,0.618581739030817
10000,0.609338497807307,0.609256431875669
10000,0.626651570450789,0.60817125100702
10000,0.615477473107058,0.630148384412703
10000,0.635439566927419,0.652602550844536
10000,0.626640523016938,0.647863443693436
10000,0.615372934434188,0.643711687897363
10000,0.626362815207896,0.618506157210266
10000,0.62604296167152,0.641034530578283
10000,0.626777399994416,0.646742502585315
10000,0.624968614052046,0.642845686791156
10000,0.62270435844398,0.650388533144954
10000,0.614663430841553,0.618298998734031
10000,0.629196680117828,0.643368927102113
