"","cs_test","cs_cil_test","cs_ciu_test","l2error","l2error_cil","l2error_ciu","TN","FN","TP","FP","pc","FDR","ritm100","ritm99","size","size_cil","size_ciu"
"o",0.912261503962325,0.886442650447502,0.932174964782089,8.24415590329529,7.97745818635285,8.50817518988048,1,0,1,0,1,0,100,100,10,10,10
"u",0.807072950733104,0.699449999834,0.878610033195183,9.08367919212591,8.72586402712489,9.30151070326707,0.964679203539823,0.502,0.498,0.035320796460177,0.954577922077922,0.760571618447043,0,0,22,15,24
"l",0.809332510195152,0.700567439898121,0.881952175664816,9.06986534940839,8.62209019637841,9.31604898630919,0.973102876106195,0.521,0.479,0.0268971238938053,0.962408008658009,0.712069237177436,0,0,17,10.975,23
"a",0.808382856448066,0.69510263211692,0.879671074163708,9.04252614163065,8.56117676181613,9.32014632395859,0.978556415929204,0.54575,0.45425,0.0214435840707965,0.967207792207792,0.671510367857117,0,0,14,8,20
