"","cs_test","cs_cil_test","cs_ciu_test","l2error","l2error_cil","l2error_ciu","TN","FN","TP","FP","pc","FDR","ritm100","ritm99","size","size_cil","size_ciu"
"o",0.913308606769154,0.888751120423861,0.938674972725043,8.18163358146396,7.90146639479113,8.42153184162333,1,0,1,0,1,0,100,100,10,10,10
"u",0.802646452873841,0.685475877248731,0.881707026959861,9.08156051764234,8.77552652060818,9.31536974180752,0.965237831858407,0.51725,0.48275,0.0347621681415929,0.954794372294372,0.76091230225808,0,0,21,11.975,24
"l",0.804058674739409,0.681809084928159,0.883544243937862,9.06503887546326,8.65151328662737,9.32310526101181,0.972162610619469,0.53675,0.46325,0.027837389380531,0.961147186147186,0.726839457650342,0,0,18,10.975,22
"a",0.794803892134434,0.661945441219493,0.87710266137275,9.09463068979549,8.73801742581661,9.32502311049232,0.986172566371681,0.59225,0.40775,0.0138274336283186,0.973652597402597,0.60427517968143,0,0,10,6,14
