"","cs_test","cs_cil_test","cs_ciu_test","l2error","l2error_cil","l2error_ciu","TN","FN","TP","FP","pc","FDR","ritm100","ritm99","size","size_cil","size_ciu"
"o",0.903761216023515,0.873594631666962,0.927428113295312,8.42963861523184,8.18065182821247,8.66184719021135,1,0,1,0,1,0,100,100,10,10,10
"u",0.81209618547596,0.733259830350911,0.873192117966483,9.1130494836496,8.85945674983674,9.32050237697401,0.963047566371681,0.53975,0.46025,0.0369524336283186,0.952164502164502,0.782281301731539,0,0,22,16,24
"l",0.815772713265368,0.73912000936241,0.881571354121182,9.0862171130721,8.79171846415818,9.30755229257707,0.972942477876106,0.53,0.47,0.0270575221238938,0.962056277056277,0.716766001356483,0,0,17,11.975,22
"a",0.814462640624234,0.734801411742258,0.880511174353291,9.07052406978908,8.75283729360465,9.30804057207045,0.978844026548673,0.56025,0.43975,0.0211559734513274,0.967175324675325,0.676928522672718,0,0,14,9,19
