"","cs_test","cs_cil_test","cs_ciu_test","l2error","l2error_cil","l2error_ciu","TN","FN","TP","FP","pc","FDR","ritm100","ritm99","size","size_cil","size_ciu"
"o",0.908311357920991,0.881291361416469,0.930793636334208,8.29543640468176,8.02883277504166,8.54992511870566,1,0,1,0,1,0,100,100,10,10,10
"u",0.812400200784236,0.731642901094111,0.872191645554344,9.07338090248291,8.83538557966929,9.31314433339906,0.963401548672566,0.536,0.464,0.0365984513274336,0.952591991341991,0.778660808917922,0,0,22,15,24
"l",0.820235132881706,0.730699933142417,0.884740418699052,9.03203835223105,8.67996712619311,9.29343276784509,0.97396017699115,0.51875,0.48125,0.0260398230088496,0.963295454545455,0.705469101198565,0,0,17,11,21
"a",0.819710918341517,0.728872230335924,0.884590593513021,9.00518408311663,8.61968984110175,9.29802042826631,0.979225663716814,0.54625,0.45375,0.0207743362831858,0.967851731601732,0.664517761263504,0,0,14,9,19
