"","cs_test","cs_cil_test","cs_ciu_test","l2error","l2error_cil","l2error_ciu","TN","FN","TP","FP","pc","FDR","ritm100","ritm99","size","size_cil","size_ciu"
"o",0.909775337677813,0.882201509002023,0.935015222735361,8.23667995710617,7.97274043599743,8.48252656318952,1,0,1,0,1,0,100,100,10,10,10
"u",0.81065185050997,0.71430019478107,0.881561463435737,9.06704177952746,8.76279842918034,9.30907495454762,0.964026548672566,0.5385,0.4615,0.0359734513274336,0.953149350649351,0.777943184114031,0,0,22,14,24
"l",0.817287527345738,0.721976572807341,0.889408675926963,9.02310582414785,8.66449158772177,9.28800310915756,0.972439159292035,0.5295,0.4705,0.0275608407079646,0.961574675324675,0.72192118048986,0,0,17,11,22
"a",0.811062342794303,0.713419050502486,0.883088290544771,9.04642376388884,8.71669492411256,9.30473606345203,0.985481194690266,0.58075,0.41925,0.0145188053097345,0.973225108225108,0.608761002886003,0,0,11,7,14
