	n train	train time	train score	test score
0	50	0.15	0.943952802359882	0.5912206513052264
1	50	0.13	0.9358974358974359	0.5896270678784941
2	50	0.15	0.9416267942583733	0.5868730965197962
3	50	0.12	0.9265426052889324	0.5916160471931092
4	50	0.13	0.9504289799809342	0.5798051700262318
5	50	0.12	0.9381541389153187	0.4974416266070833
6	50	0.12	0.945382323733863	0.6009261503680362
7	50	0.12	0.9513822688274547	0.5527118517967413
8	50	0.11	0.941747572815534	0.5542652356415493
9	50	0.14	0.9462151394422311	0.605732700379916
10	50	0.16	0.9197154471544715	0.4792798154899189
11	50	0.12	0.941473259334006	0.5655055187426051
12	50	0.12	0.920388349514563	0.5923432396303079
13	50	0.12	0.9398280802292264	0.5912506509932297
14	50	0.13	0.932806324110672	0.570016271830773
15	50	0.15	0.9408866995073891	0.5908474551864661
16	50	0.11	0.9399428026692088	0.6195187570049272
17	50	0.11	0.9444444444444444	0.5816507508321913
18	50	0.1	0.9461020211742059	0.6123578314785526
19	50	0.11	0.9385964912280702	0.5612605628901459
20	500	9.58	0.8759967375137936	0.6460066815305121
21	500	30.71	0.892079786266267	0.6529378094467817
22	500	11.07	0.8820447247485915	0.6563205742660276
23	500	28.35	0.8872256925453621	0.633995406447773
24	500	77.12	0.9023909905259032	0.6527410114934805
25	500	10.42	0.8574025099774006	0.6426095168610246
26	500	21.75	0.8887657305571747	0.6583143535307233
27	500	10.62	0.8864159558310807	0.6439757026526924
28	500	38.28	0.8879818244830374	0.6407831358553872
29	500	41.38	0.8939090873436091	0.6557997796822913
30	500	41.45	0.8926567772076587	0.6342252040578777
31	500	41.63	0.9041603178583139	0.650822831442553
32	500	11.85	0.8860188320967837	0.6370631745429848
33	500	15.6	0.8770498857323172	0.6508540311180764
34	500	56.99	0.8878609718139374	0.6295440527418514
35	500	11.41	0.8992921152978014	0.6646748873811712
36	500	17.75	0.8897501314585078	0.6460378812060354
37	500	81.96	0.8978483170004261	0.6545475927050358
38	500	17.61	0.8829049168826613	0.6510976285846627
39	500	16.63	0.8846356710294979	0.6391031533272054
40	1000	13.65	0.8047480149870901	0.6881352433934687
41	1000	18.52	0.8235513416264997	0.6726344046021921
42	1000	21.49	0.8196144386920199	0.6762913665697877
43	1000	15.59	0.810083553070496	0.6709604220116111
44	1000	26.46	0.8286323494845707	0.6593517427418755
45	1000	4.23	0.7688859145402472	0.6814927124757902
46	1000	34.22	0.8372587099670398	0.6666776665522679
47	1000	21.15	0.827170841284027	0.6739759906496973
48	1000	25.16	0.8177555834330303	0.6803605242505478
49	1000	5.8	0.8034786477083429	0.6759511701078309
50	2000	68.58	0.790209113243919	0.6951161707918238
51	2000	10.05	0.7557835202972222	0.700295316928704
52	2000	33.67	0.7698394631764292	0.7065178522143369
53	2000	4.54	0.7376125280184165	0.6943571786853416
54	2000	3.16	0.7345720539892301	0.6896442277000319
55	2000	36.68	0.7729575610836947	0.699380326444605
56	2000	4.99	0.7514598564356406	0.6999857201485105
57	2000	10.68	0.7566946683902189	0.6987047334707719
58	2000	39.01	0.7794155662308007	0.6950951710102214
59	2000	41.73	0.7840646790528725	0.6978809420382028
60	5000	10.68	0.7277982512005949	0.7043140751336187
61	5000	22.16	0.740079285790426	0.7167309459981617
62	5000	48.9	0.7437019166192911	0.7145799683683289
63	5000	27.19	0.7351882246331439	0.7079800370076151
64	5000	9.07	0.7185561198418191	0.6930701920700024
65	5000	12.73	0.7229005872681106	0.7039924784782238
66	5000	10.47	0.721380374097222	0.698003340765256
67	5000	6.9	0.7065741606074316	0.6885444391378329
68	5000	6.78	0.7152645235950289	0.6934085885506791
69	5000	7.09	0.7104727901218231	0.6869628555863019
