"n.train","train.C","test.C"
100,0.703652334720296,0.609605539141614
100,0.759826325411335,0.593047628696543
100,0.718459495351926,0.635204179113871
100,0.723423838011965,0.619717899660816
100,0.71741992101799,0.609409726316935
100,0.692672998643148,0.622439969752815
100,0.673418861129867,0.598002067601582
100,0.664107932077227,0.598374985280664
100,0.658612440191388,0.599151478477629
100,0.662465627864345,0.618935982439863
100,0.746381652193275,0.610886015476765
100,0.651525423728814,0.598915603931443
100,0.739111111111111,0.618557780037907
100,0.726434195725534,0.590111802145184
100,0.702992917523418,0.600603039172665
100,0.689489351957866,0.590908886470149
100,0.705789946140036,0.618906379341067
100,0.70414601171699,0.59245858487854
100,0.658790826963169,0.603242045503264
100,0.727707006369427,0.586552739678183
500,0.693435423133,0.625963598637768
500,0.703547827035478,0.630274785271239
500,0.674648446666787,0.635811085710946
500,0.696116600879362,0.646518776071654
500,0.687908826705768,0.617657864419387
500,0.655588716491972,0.629757252758697
500,0.694255691137507,0.626033800791082
500,0.656140824779399,0.633422857091097
500,0.665912803115969,0.618081772366829
500,0.672090628218332,0.63843316512412
500,0.693909048816581,0.623239484228032
500,0.676906713382969,0.643351925558895
500,0.718326295722201,0.62464192508356
500,0.698138059567757,0.606361955469946
500,0.660115122590987,0.619074224033803
500,0.681673368248119,0.601635797749373
500,0.688121425822676,0.642088809594161
500,0.684614275154596,0.60628234152652
500,0.694460760755416,0.618585802061028
500,0.702850976622717,0.609164633060909
1000,0.676440705518979,0.629348880218318
1000,0.694735798954502,0.630657525919422
1000,0.668090227196641,0.642621926411451
1000,0.689975937225986,0.6447959746038
1000,0.698557885639509,0.621703692952457
1000,0.675066018908622,0.624407395164978
1000,0.678511296183447,0.623948220064725
1000,0.685381983729325,0.631624833558275
1000,0.662961989567511,0.617754375824136
1000,0.664518519350167,0.642544862075988
1000,0.689481454766762,0.629522131232508
1000,0.679504700469488,0.643534688941236
1000,0.702411790978115,0.627647592849196
1000,0.683296970676435,0.611933890905457
1000,0.681194792070811,0.614744828023
1000,0.678732387684425,0.601390675458086
1000,0.681192670868366,0.638313037241205
1000,0.669638619567428,0.606491213885295
1000,0.68983967989688,0.611821010566884
1000,0.69024108919848,0.611453988683913
2000,0.683623179974178,0.628415164978912
2000,0.69652486451828,0.627239877072709
2000,0.674025337073975,0.640167326396616
2000,0.693405722295995,0.641578883696339
2000,0.694998892595153,0.628337128187451
2000,0.669859095255015,0.626374820577142
2000,0.675992274959231,0.618570208558073
2000,0.690129473896229,0.62771628366199
2000,0.674449651432346,0.624952583948989
2000,0.671028892219837,0.649381095698219
2000,0.680618707667731,0.634186793821914
2000,0.686634536794341,0.639026525510158
2000,0.703202333609199,0.622191429865098
2000,0.692216787137538,0.617042444837158
2000,0.685592673251487,0.621872271507869
2000,0.677707806157378,0.601123064883196
2000,0.68019090653506,0.638759633971125
2000,0.685096468744149,0.608276735661923
2000,0.678210843548578,0.619513196758857
2000,0.687572774485576,0.618351348489048
5000,0.68418133986999,0.628505379011705
5000,0.684963767724889,0.630243265453154
5000,0.676667320069173,0.645191164339068
5000,0.696123871525534,0.642356272655175
5000,0.680064684565328,0.62846185944828
5000,0.671810431529203,0.624092697659466
5000,0.683698805940594,0.617334142394822
5000,0.691407026842654,0.630451815686736
5000,0.673260087295835,0.621466375246112
5000,0.675157519495708,0.651854450001131
5000,0.688504334311922,0.635960266989963
5000,0.683006782741207,0.640154694536954
5000,0.692331001310627,0.626432584077924
5000,0.693961792913118,0.620635922969639
5000,0.680454798245072,0.623053015874452
5000,0.683936719836883,0.603457348721316
5000,0.682779828949498,0.640185134644403
5000,0.681242444378185,0.61022171913181
5000,0.679839015336033,0.621952402764584
5000,0.686019599378726,0.62059789135926
10000,0.682236849524621,0.628029499988723
10000,0.68690477022803,0.62725788839733
10000,0.677574236464944,0.645081022030709
10000,0.688394867712202,0.643337530188231
10000,0.682562199354301,0.630051616063572
10000,0.67956059815133,0.624645116302236
10000,0.681748626421147,0.6163992268968
10000,0.683895613639751,0.62966150055707
10000,0.682163913887678,0.627680135835697
10000,0.674969518123318,0.647935099907221
10000,0.686065556843104,0.633513009225666
10000,0.680471522673536,0.637142483235408
10000,0.689081195523182,0.623970712372839
10000,0.692924162423291,0.621217421327361
10000,0.683105810434007,0.623991730265509
10000,0.682525320389534,0.602445375959125
10000,0.683722793249518,0.641136972119282
10000,0.680651071129974,0.609107733218341
10000,0.681788329344203,0.621191984241059
10000,0.687071173755123,0.618040392705608
