"n.train","train.C","test.C"
100,0.855405405405405,0.686710328953592
100,0.791854185418542,0.687197948736307
100,0.836014298480786,0.722387993131286
100,0.829354553492485,0.733547981781059
100,0.84493740390951,0.690914433134261
100,0.8001800180018,0.718036160385327
100,0.841142857142857,0.725187678781666
100,0.762625087270189,0.682814450028671
100,0.794176042356056,0.704056145821433
100,0.800402774669948,0.716765558347586
100,0.813585403385359,0.697018017676458
100,0.780591662931421,0.723604150757729
100,0.807484220018034,0.723508365192773
100,0.85214269688131,0.695728473930552
100,0.81826280623608,0.663458847916261
100,0.828944355392718,0.70125688936685
100,0.854754913033657,0.69936188834609
100,0.82648401826484,0.733955415685544
100,0.833222444000887,0.738014901818165
100,0.854037977579501,0.71457682988548
500,0.782873677547699,0.738774002621539
500,0.775440867173597,0.766015429226033
500,0.770941652224148,0.747206797350639
500,0.785690166876966,0.76623437815522
500,0.783316719448831,0.74143184990128
500,0.760709077652206,0.749456336154994
500,0.770339196885589,0.771363150049018
500,0.764131687093467,0.743391686623717
500,0.777537175973763,0.772036406076042
500,0.772846702237367,0.760061957674211
500,0.7716439992157,0.745836799414799
500,0.754517117261953,0.749222456480939
500,0.761086907702672,0.754269536431223
500,0.75721445721537,0.760865721020081
500,0.760248215285865,0.744182610622738
500,0.780349116378143,0.748886499081418
500,0.758046116395843,0.740001875485617
500,0.77075506970285,0.764460945514295
500,0.779015884070393,0.751589968773081
500,0.774513778162131,0.766917175372516
1000,0.765966269450128,0.738170418049881
1000,0.777250286117128,0.768883797522732
1000,0.764753520732894,0.75362057046007
1000,0.765905206114087,0.765426641836254
1000,0.778109595702823,0.749220369014204
1000,0.774449195300456,0.759293955895832
1000,0.775500142770461,0.774581779602215
1000,0.76951201918742,0.759775581565307
1000,0.766963387085952,0.775421194465165
1000,0.775439565249598,0.767569057925046
1000,0.786916570532664,0.751662046463705
1000,0.754696819913583,0.763958492422708
1000,0.752040163168448,0.765837020854465
1000,0.76168046404235,0.767786833322514
1000,0.759678838294413,0.754459718705859
1000,0.775451956958413,0.757725052650446
1000,0.758162204141021,0.747215796947424
1000,0.779029119296042,0.765554116450764
1000,0.766718165737444,0.751684255661142
1000,0.762906702706325,0.770009718782331
2000,0.766860688059886,0.744825613606778
2000,0.769469473002491,0.771955770745328
2000,0.765139859356804,0.762688164849134
2000,0.75512364759567,0.769564046758958
2000,0.767354519534818,0.750446854876227
2000,0.774375808383906,0.76065985514279
2000,0.774052401785655,0.778803153272124
2000,0.77268239086013,0.767686443822309
2000,0.766351414664474,0.780633902990307
2000,0.76661179755381,0.77255884746173
2000,0.777456300857782,0.756624211350311
2000,0.760077745166133,0.763424174757498
2000,0.760337561236375,0.767829954189284
2000,0.762619811004738,0.773678284674392
2000,0.769698070298465,0.759353153310455
2000,0.769853621331758,0.763574853250885
2000,0.753716342518781,0.755639853176269
2000,0.767736470472768,0.767062557660839
2000,0.765465502121506,0.757359428352067
2000,0.761135449625393,0.773355308828864
5000,0.760572370622389,0.747634083609976
5000,0.77190195196504,0.774526562611871
5000,0.763153034454406,0.766031087620704
5000,0.760127203429991,0.767699522089345
5000,0.765176608236485,0.754840835078831
5000,0.768569178943425,0.765653924264481
5000,0.765958445967673,0.777160264473761
5000,0.768580003753323,0.769379701150201
5000,0.770020020132147,0.784592156520142
5000,0.768028313877699,0.772565572245473
5000,0.766410166766662,0.758729507374112
5000,0.768294208581105,0.763885023743741
5000,0.762216578097998,0.770250900052387
5000,0.762619779933725,0.773946891878885
5000,0.766061688589731,0.763727248103402
5000,0.762946998853467,0.768022135591701
5000,0.761438877995038,0.760076269748417
5000,0.770287604520812,0.765801033910746
5000,0.760856748002731,0.760035380032282
5000,0.758982340218124,0.77071511427407
10000,0.76307698392823,0.750016891359282
10000,0.768030674365824,0.77394035941863
10000,0.763668106097106,0.767828549764724
10000,0.761051784539457,0.76840629136844
10000,0.76217471577511,0.756937658458189
10000,0.764078608949311,0.764939523013605
10000,0.765507512621739,0.776795426770582
10000,0.764582778330862,0.7721613204259
10000,0.768043375903145,0.785877972890332
10000,0.762342253644368,0.77355187386099
10000,0.764367009075559,0.758593465999692
10000,0.768274444426497,0.763715823149758
10000,0.761132149300032,0.772147976414726
10000,0.76367424200028,0.777127648858755
10000,0.763812482687811,0.763975725340873
10000,0.764275010511261,0.768512792938119
10000,0.763699447435964,0.762869403684883
10000,0.765370480126571,0.767475583230264
10000,0.764138733779919,0.760544978212994
10000,0.761842349158277,0.772121426556013
