	n train	train time	train C	test C	brier score	test brier
0	50	0.22	0.5	0.5	0.1733857361526133	0.17816412556909295
1	50	0.26	0.5	0.5	0.13983930141745074	0.15398445332524552
2	50	0.25	0.5	0.5	0.14885674497689513	
3	50	0.25	0.5	0.5	0.17691473216004402	0.1411750928447112
4	50	0.26	0.5	0.5	0.18051118607394231	0.166630586374965
5	50	0.25	0.5	0.5	0.16949702692020407	0.1500866004306894
6	50	0.27	0.5	0.5	0.1863035701883129	
7	50	0.25	0.5	0.5	0.16672159382162602	0.1683758207867247
8	50	0.23	0.5	0.5	0.15156488442240504	0.15471698683182986
9	50	0.22	0.5	0.5	0.1685576848877697	0.1569297811386923
10	50	0.24	0.5	0.5	0.16543503131371626	0.1754580888224119
11	50	0.25	0.5	0.5	0.16550546425844437	0.17680100237764204
12	50	0.27	0.5	0.5	0.18072874126765484	0.16008341538021842
13	50	0.25	0.5	0.5	0.17265744768564972	0.17631774651425441
14	50	0.23	0.5	0.5	0.16900156901303892	0.1648341187697262
15	50	0.25	0.5	0.5	0.17449569761081643	0.1713300453965008
16	50	0.26	0.5	0.5	0.17782782689182558	
17	50	0.25	0.5	0.5	0.14508909452986474	0.17906396010757414
18	50	0.24	0.5	0.5	0.18500634746849196	0.2027037174341392
19	50	0.25	0.5	0.5	0.1771952340562423	0.17125545039792164
20	500	1.42	0.8435397193053127	0.7699669487834249	0.09135059267123999	0.11181284997103731
21	500	1.4	0.8357416223280127	0.756465199431781	0.08175896841003898	0.11500178453804305
22	500	1.38	0.8299777303095033	0.7484030938899374	0.08795694539118498	0.11343861729335115
23	500	1.5	0.8140076017428386	0.7331915632570679	0.08838079633217585	0.12211063603771348
24	500	1.41	0.8331902848794741	0.7572702712704933	0.09436447056427802	0.10926861223533099
25	500	1.54	0.8440404264360808	0.7646662282612099	0.08579248176755805	0.11643541186118295
26	500	1.55	0.8382331471951531	0.7590415431872076	0.08872656166765278	0.11152424548685894
27	500	1.45	0.8374174962622616	0.7481799056574231	0.08269369079509886	0.11685725904559567
28	500	1.43	0.8367914815467522	0.7492770580147066	0.07983206947524708	0.12427640057189393
29	500	1.43	0.8404034299097194	0.7684553039943292	0.08654721924429382	0.11424480275253582
30	500	1.49	0.8488830608410989	0.7574000848343027	0.08639813312817492	0.1158464838012243
31	500	1.42	0.8505471770022323	0.7655789087120274	0.0815171734015781	0.11273649924001972
32	500	1.35	0.8395051621412652	0.7432133981262437	0.08515204965764997	0.10741840839704701
33	500	1.37	0.847033654241751	0.768345987309016	0.08778350945783199	0.10649626663383673
34	500	1.6	0.8284298544441003	0.7537243112906485	0.08825654911907874	0.13856836537542347
35	500	1.44	0.8287395764150247	0.7496061467861179	0.08370595435250953	0.14322083405007333
36	500	1.42	0.8239733690369202	0.7493493664471793	0.0855370197728042	0.12461081738464196
37	500	1.42	0.8327354710333433	0.7565312449291577	0.09165630150875909	0.11239335038184073
38	500	1.42	0.8235472099462711	0.7403267544046938	0.0955586537293888	
39	500	1.49	0.8410060961677315	0.7641691789576768	0.09778559227124638	0.11310805360276084
40	1000	9.23	0.8459870888747767	0.7785067454657774	0.0873424498200823	0.09523062637334806
41	1000	8.41	0.8342234120764034	0.7656990431943247	0.07841678316582187	0.10606852751100182
42	1000	8.76	0.8414030386301183	0.7731422568771298	0.08061069025224878	0.10355168453804914
43	1000	8.45	0.8359221481908	0.7697306653229824	0.0839090452957352	0.10428035359671722
44	1000	7.79	0.8302695864697497	0.7524620451899235	0.08164216734397636	0.10662973262386154
45	1000	8.75	0.8395094727431092	0.7727294725185255	0.0851189613974991	0.10662724685404709
46	1000	8.8	0.8426205385311007	0.779636351214013	0.08299864399542932	0.10078754286594792
47	1000	8.89	0.8486268660801028	0.7808268782400014	0.0770127362221847	0.11055378085167478
48	1000	8.44	0.8400788303308206	0.773261822001691	0.07760220596514482	0.11562660162797132
49	1000	9.25	0.8395136366607221	0.7762333000259057	0.07873949977577797	0.10399302199603777
50	2000	43.52	0.8474938141664821	0.7836212860083183	0.07544004382086185	0.10088648046934247
51	2000	42.0	0.841624029297922	0.7780489818460286	0.07568562401716374	0.10197815435830102
52	2000	47.85	0.8485282735385176	0.7902901731701554	0.07679451779439811	0.09893649045167933
53	2000	43.36	0.8438556846257579	0.7849325168743398	0.0789060602736738	0.09857499999594532
54	2000	42.42	0.8415741223563993	0.7820806039746864	0.07585425058789319	0.1005763254852838
55	2000	42.79	0.8429863829215959	0.786191366828649	0.07573513546546246	0.10259464830576717
56	2000	44.16	0.848566544225414	0.7870841197587062	0.07512424054140916	0.09924469567644045
57	2000	41.71	0.8428984165359259	0.7832164726580181	0.07406311225475305	0.1056174367599854
58	2000	42.5	0.8453569684258914	0.7846785833240812	0.07546772997451272	0.1069031385922722
59	2000	46.45	0.8447495698394968	0.7858292553085492	0.07556935498370607	0.0983667945149638
