"n.train","train.C","test.C"
100,0.644546649145861,0.579908176650634
100,0.706267744048919,0.534839675828048
100,0.691522414558367,0.549651453373668
100,0.686659316427784,0.560157055430038
100,0.666592625499778,0.560707467468346
100,0.61616152859174,0.577765631832095
100,0.628193718408433,0.575867688513037
100,0.581106803576418,0.59066596518918
100,0.622839538405305,0.558248700344381
100,0.613607244646266,0.581992934102828
100,0.608553096162579,0.59744206383909
100,0.616920024433248,0.592362579281184
100,0.589836238176866,0.591455127362006
100,0.600904874569354,0.582004430893417
100,0.612157250684191,0.602115380395427
100,0.623569335720171,0.610428508963708
100,0.613080634575854,0.591481677237491
100,0.608356598602292,0.590315226445701
100,0.616617941657405,0.586610805238106
100,0.616915544356873,0.600996247613614
500,0.620600052288888,0.618146042850896
500,0.605908914813075,0.589521670190275
500,0.60871168414797,0.588057345784559
500,0.612677172632295,0.588804316830814
500,0.60605996201062,0.596212503565864
500,0.60996011252033,0.623130738959335
500,0.608038004010852,0.595071353065539
500,0.616241922015324,0.601231969836468
500,0.609978030744456,0.587071442672574
500,0.607750687875383,0.604046433038555
500,0.644546649145861,0.579908176650634
500,0.706267744048919,0.534839675828048
500,0.691522414558367,0.549651453373668
500,0.686659316427784,0.560157055430038
500,0.666592625499778,0.560707467468346
500,0.61616152859174,0.577765631832095
500,0.628193718408433,0.575867688513037
500,0.581106803576418,0.59066596518918
500,0.622839538405305,0.558248700344381
500,0.613607244646266,0.581992934102828
1000,0.608553096162579,0.59744206383909
1000,0.616920024433248,0.592362579281184
1000,0.589836238176866,0.591455127362006
1000,0.600904874569354,0.582004430893417
1000,0.612157250684191,0.602115380395427
1000,0.623569335720171,0.610428508963708
1000,0.613080634575854,0.591481677237491
1000,0.608356598602292,0.590315226445701
1000,0.616617941657405,0.586610805238106
1000,0.616915544356873,0.600996247613614
1000,0.620600052288888,0.618146042850896
1000,0.605908914813075,0.589521670190275
1000,0.60871168414797,0.588057345784559
1000,0.612677172632295,0.588804316830814
1000,0.60605996201062,0.596212503565864
1000,0.60996011252033,0.623130738959335
1000,0.608038004010852,0.595071353065539
1000,0.616241922015324,0.601231969836468
1000,0.609978030744456,0.587071442672574
1000,0.607750687875383,0.604046433038555
2000,0.644546649145861,0.579908176650634
2000,0.706267744048919,0.534839675828048
2000,0.691522414558367,0.549651453373668
2000,0.686659316427784,0.560157055430038
2000,0.666592625499778,0.560707467468346
2000,0.61616152859174,0.577765631832095
2000,0.628193718408433,0.575867688513037
2000,0.581106803576418,0.59066596518918
2000,0.622839538405305,0.558248700344381
2000,0.613607244646266,0.581992934102828
2000,0.608553096162579,0.59744206383909
2000,0.616920024433248,0.592362579281184
2000,0.589836238176866,0.591455127362006
2000,0.600904874569354,0.582004430893417
2000,0.612157250684191,0.602115380395427
2000,0.623569335720171,0.610428508963708
2000,0.613080634575854,0.591481677237491
2000,0.608356598602292,0.590315226445701
2000,0.616617941657405,0.586610805238106
2000,0.616915544356873,0.600996247613614
5000,0.620600052288888,0.618146042850896
5000,0.605908914813075,0.589521670190275
5000,0.60871168414797,0.588057345784559
5000,0.612677172632295,0.588804316830814
5000,0.60605996201062,0.596212503565864
5000,0.60996011252033,0.623130738959335
5000,0.608038004010852,0.595071353065539
5000,0.616241922015324,0.601231969836468
5000,0.609978030744456,0.587071442672574
5000,0.607750687875383,0.604046433038555
5000,0.644546649145861,0.579908176650634
5000,0.706267744048919,0.534839675828048
5000,0.691522414558367,0.549651453373668
5000,0.686659316427784,0.560157055430038
5000,0.666592625499778,0.560707467468346
5000,0.61616152859174,0.577765631832095
5000,0.628193718408433,0.575867688513037
5000,0.581106803576418,0.59066596518918
5000,0.622839538405305,0.558248700344381
5000,0.613607244646266,0.581992934102828
10000,0.608553096162579,0.59744206383909
10000,0.616920024433248,0.592362579281184
10000,0.589836238176866,0.591455127362006
10000,0.600904874569354,0.582004430893417
10000,0.612157250684191,0.602115380395427
10000,0.623569335720171,0.610428508963708
10000,0.613080634575854,0.591481677237491
10000,0.608356598602292,0.590315226445701
10000,0.616617941657405,0.586610805238106
10000,0.616915544356873,0.600996247613614
10000,0.620600052288888,0.618146042850896
10000,0.605908914813075,0.589521670190275
10000,0.60871168414797,0.588057345784559
10000,0.612677172632295,0.588804316830814
10000,0.60605996201062,0.596212503565864
10000,0.60996011252033,0.623130738959335
10000,0.608038004010852,0.595071353065539
10000,0.616241922015324,0.601231969836468
10000,0.609978030744456,0.587071442672574
10000,0.607750687875383,0.604046433038555
