"n.train","train.C","test.C"
100,0.65252478671893,0.494869335637368
100,0.612108655616943,0.539442899421135
100,0.613388309483386,0.486262075345224
100,0.598119858989424,0.51393221019465
100,0.573575594436967,0.529512032203268
100,0.574408249355519,0.508547389823664
100,0.626932084309133,0.435608137218418
100,0.568072866730585,0.467328920136317
100,0.569764620237806,0.541655758893406
100,0.572980632971186,0.51942738005656
100,0.597948216902785,0.499670712423357
100,0.625087270188504,0.495630042766297
100,0.607452542770096,0.522140920995634
100,0.578862537416532,0.469423212602381
100,0.608895002292526,0.471747595496332
100,0.632194450814033,0.562027566241978
100,0.636149126946673,0.545319596778264
100,0.586996336996337,0.453157815033122
100,0.650714447720572,0.575467899450483
100,0.606515116006562,0.542923017142911
500,0.550119397501837,0.529493836276573
500,0.553143080023403,0.524608523441636
500,0.575801681268135,0.545704646065747
500,0.550643984514592,0.543333892906993
500,0.558231521357411,0.517622461521485
500,0.553521204433905,0.579571374402909
500,0.518384077138087,0.509447794712381
500,0.568006623125747,0.543308653395771
500,0.560555886292603,0.504595938903948
500,0.551670472963018,0.555532794342593
500,0.587485762438767,0.566554243231409
500,0.553155149332964,0.525466079857813
500,0.562607577219164,0.575882883972206
500,0.548377276333512,0.522753712849494
500,0.552333314599374,0.495974591442749
500,0.560245108978651,0.521846264376249
500,0.541390172979421,0.56451864730307
500,0.544568734399556,0.511772177606332
500,0.592475287288128,0.579795008211646
500,0.564962534907512,0.550972073361281
1000,0.547900239715023,0.546825749936314
1000,0.540293551357536,0.531984917337666
1000,0.553778928853372,0.582078890494565
1000,0.54045235239981,0.573390628980359
1000,0.54261268327445,0.528090989024921
1000,0.559536120036922,0.557983374792654
1000,0.522057760217196,0.536592008583782
1000,0.557405385312362,0.522243639936655
1000,0.547943601972967,0.540976639951916
1000,0.55062895538714,0.570319626126533
1000,0.562303978043223,0.556618093325147
1000,0.553044996121024,0.563287193941578
1000,0.543281747348642,0.568162528365102
1000,0.548757565068875,0.541547170298613
1000,0.540054403343316,0.534617457054678
1000,0.550655780806109,0.527596177211891
1000,0.542454076990192,0.546957230180821
1000,0.531313700928618,0.529719230981441
1000,0.57206198120486,0.593538215554817
1000,0.560473567590567,0.589049104349531
2000,0.54607483985922,0.569051780911651
2000,0.531888548481063,0.532484424873714
2000,0.546429533038219,0.578488423281864
2000,0.530171360079245,0.537885093309886
2000,0.536070258752823,0.586247518603868
2000,0.543818943877668,0.547980897798762
2000,0.538092589654493,0.547908114091982
2000,0.545740019714002,0.535721538929305
2000,0.550925678398691,0.549634966231882
2000,0.54411877694546,0.584363359742862
2000,0.56133992133407,0.574374382952647
2000,0.540875588773853,0.547487846881864
2000,0.546479771297244,0.574332708410862
2000,0.555360586115275,0.552481161346217
2000,0.548977924094374,0.55904695605625
2000,0.553068825966843,0.527438870490785
2000,0.563914545377137,0.563028929175584
2000,0.541762357806577,0.561208162575322
2000,0.553917752649578,0.565742470114658
2000,0.549046187743348,0.576475719003239
5000,0.544075705632643,0.550607567862002
5000,0.539239678956864,0.562552900254626
5000,0.551002701772854,0.576557307190678
5000,0.535174903121782,0.547720872136636
5000,0.540862569666137,0.585507355263142
5000,0.536724303042172,0.55612034668523
5000,0.539188512496211,0.55374020208044
5000,0.548547945438938,0.5537102668462
5000,0.548678581774021,0.562278787423445
5000,0.540763877661176,0.550417978045147
5000,0.546760898163387,0.580575085198024
5000,0.545499569269092,0.561524536913666
5000,0.545016603643774,0.555171810635578
5000,0.535920291908179,0.56449516868798
5000,0.541160871671724,0.578182614320312
5000,0.546275629915987,0.561627842820063
5000,0.551713928373345,0.562592226934902
5000,0.542127715891738,0.57653969822936
5000,0.551859614062554,0.570017925922621
5000,0.545657633732398,0.561079030192325
