"","beta0"
"hsa.miR.20b..1",0.3
"hsa.miR.599.1",-1
"hsa.miR.187..1",0.1
"hsa.miR.129.5p.2..1",-0.8
"hsa.miR.1271..1",0.2
"hsa.miR.3200..1",-0.2
"hsa.miR.137.1",2.9
"hsa.miR.1269..1",-0.4
"hsa.miR.676..1",0.3
"hsa.miR.525.5p.1",-0.2
