"","beta0"
"hsa.miR.383.1",9.8
"hsa.miR.520c.1",-6.5
"hsa.miR.182..1",0.1
"hsa.miR.873.1",-5.2
"hsa.miR.498.5p.1",1.3
"hsa.miR.520b.3p.1",-7.4
"hsa.miR.504.1",0.5
"hsa.miR.890.3p.1",-1.8
"hsa.miR.3146.3p.1",10.4
"hsa.miR.3150.5p.1",-0.1
