"","beta0"
"hsa.miR.383.1",2.95
"hsa.miR.520c.1",-3.51
"hsa.miR.182..1",7.55
"hsa.miR.873.1",-0.72
"hsa.miR.498.5p.1",5.09
"hsa.miR.520b.3p.1",-3.54
"hsa.miR.504.1",0.7
"hsa.miR.890.3p.1",-5.05
"hsa.miR.3146.3p.1",3.22
"hsa.miR.3150.5p.1",-9.92
