	n train	train time	train C	test C	brier score	test brier
0	50	0.0	0.8632162661737524	0.7447654673145958	0.06965681341338141	0.11128324593121605
1	50	0.0	0.8645937813440321	0.7651666937111591	0.05898405691899736	0.09992821461304147
2	50	0.0	0.8544739429695182	0.7169603129190117	0.05931554636407827	
3	50	0.0	0.8988256549232159	0.718622268150413	0.05832744455427682	0.09971735948228697
4	50	0.0	0.878139534883721	0.7551579540699115	0.0643618067561586	0.1047512172335017
5	50	0.0	0.8682464454976303	0.7412610704494794	0.0596872369476019	0.09861149864688218
6	50	0.0	0.9079069767441861	0.7456377233661569	0.0728692995165792	
7	50	0.0	0.8752380952380953	0.7485078557133625	0.06279077631782166	0.1126990719983498
8	50	0.0	0.8960155490767736	0.7082354749724573	0.04843820500457269	0.11848760420055769
9	50	0.0	0.8961038961038961	0.744113552706869	0.052085739833671964	0.11017709366950784
10	50	0.0	0.8528058877644894	0.7470742129340997	0.055079548844302204	0.11879055209444696
11	50	0.43	0.8362465501379944	0.7041457783547269	0.08673755166179582	0.13505313516619535
12	50	0.0	0.8582887700534759	0.7144067434730252	0.06104549076691158	0.11286865085518316
13	50	0.0	0.8368469294225481	0.7635252353582541	0.06324884936905849	0.1073316708313727
14	50	0.0	0.877025738798856	0.7593825884710752	0.06461501269794419	0.10480536742932886
15	50	0.0	0.88003663003663	0.7336202896322803	0.0697522085271889	0.11678456074621994
16	50	0.0	0.9032863849765258	0.7493060952592429	0.06513170749025078	
17	50	0.0	0.8560606060606061	0.7538922718227703	0.06629984726005457	0.1267856552306507
18	50	0.0	0.8925143953934741	0.7479162930256524	0.07222553673173195	0.13325119578540384
19	50	0.0	0.8499079189686924	0.7646770460581941	0.05962753621927002	0.10902976918256131
20	500	0.0	0.8019207353358541	0.7901284755731297	0.09630652086523347	0.09447919159589231
21	500	0.0	0.7932231867824139	0.784366005927014	0.09878834913205242	0.10054877575769162
22	500	0.01	0.7950370404035814	0.7892698841072329	0.08877297012247277	0.0954448916256636
23	500	0.0	0.7769073885232224	0.7751668929863668	0.09966125420184292	0.1053012738889902
24	500	0.01	0.8045745069393718	0.7882547192639343	0.0978711238520726	0.09092919484791746
25	500	0.01	0.7896180921234964	0.791025214007339	0.09158594562646172	0.09958297662762129
26	500	0.0	0.805476477243695	0.7891303914619114	0.08911545205508471	0.09554237127508841
27	500	0.01	0.7875323633446377	0.7835745986739658	0.08994247263126164	0.10253825462348627
28	500	0.0	0.801869904371458	0.7839307319378376	0.08598035026795144	0.10676376451959842
29	500	0.0	0.8019019378234428	0.7886897085742428	0.08841784743084871	0.09530326719868701
30	500	0.0	0.803108085486301	0.7871199892960745	0.09363057783167994	0.09649573481381357
31	500	0.0	0.8079072975082122	0.7883930731937837	0.08420785103280107	0.09736318699405927
32	500	0.01	0.7898394505844363	0.7835296194128214	0.09347016306026013	0.09137427924920358
33	500	0.0	0.8080675096226811	0.7875834464931833	0.08912369471037927	0.0902268685776051
34	500	0.0	0.7654494777443058	0.7865660042189409	0.10071967358873579	0.11740124741825131
35	500	0.0	0.7873127444469042	0.7884238185115281	0.08706026916653718	0.12019199884576172
36	500	0.01	0.7873741356858573	0.790247471339955	0.09242094265334919	0.10686719355528658
37	500	0.01	0.7937603256752193	0.7892949358476171	0.0967454136794061	0.09347326835053514
38	500	0.01	0.8039077255973447	0.789003994044518	0.09826233288140925	
39	500	1.16	0.7837551296463857	0.7870994924175784	0.11152763540013984	0.09770709016744074
40	1000	0.01	0.7944362461794309	0.7901364465814338	0.1001889411569646	0.08522443172815836
