	n train	train time	train score	test score
0	50	0.08	0.9343936381709742	0.5571257508253625
1	50	0.06	0.9507874015748031	0.5464887551933603
2	50	0.07	0.9516616314199395	0.570333974877953
3	50	0.07	0.9195289499509323	0.5722646686672517
4	50	0.06	0.9151036525172754	0.560066634993431
5	50	0.06	0.9338159255429163	0.48930179907210347
6	50	0.07	0.9297912713472486	0.5519517823466958
7	50	0.07	0.90935960591133	0.5504925511336918
8	50	0.1	0.9247311827956989	0.577569531640108
9	50	0.09	0.9333933393339334	0.587415706369714
10	50	0.08	0.9221311475409836	0.5437108831500003
11	50	0.08	0.9419689119170984	0.5382199803173464
12	50	0.07	0.9166666666666666	0.5738772161165058
13	50	0.09	0.9305283757338552	0.5502543958734298
14	50	0.06	0.943031536113937	0.5454761408424758
15	50	0.07	0.9282945736434108	0.5341852787325535
16	50	0.07	0.9371671991480298	0.5562258511778081
17	50	0.07	0.9375639713408394	0.5748916484464762
18	50	0.08	0.941747572815534	0.5733566681048902
19	50	0.07	0.94106463878327	0.5603647835635299
20	500	39.02	0.8834067086981674	0.5765369195192779
21	500	28.83	0.8826385761556987	0.5721289262288327
22	500	7.02	0.8769170617271883	0.5936656154707596
23	500	26.29	0.8876555934353445	0.6045828828785154
24	500	19.17	0.88342924880026	0.5911201417538893
25	500	9.46	0.8904058497325416	0.6030709302720182
26	500	11.29	0.8824287229087594	0.5827986454843823
27	500	18.93	0.8794454785931224	0.6018977277685398
28	500	19.34	0.8924923465668886	0.5694746767633185
29	500	15.51	0.8788663266288134	0.5740753758368764
30	500	8.14	0.8812917264230256	0.590364468447155
31	500	7.41	0.8744247078915122	0.578902110310123
32	500	68.44	0.8894646278987915	0.5808091703713041
33	500	23.59	0.8978431046783225	0.5937343956795121
34	500	11.04	0.8791452822739834	0.5661901945480019
35	500	14.33	0.8846213366863332	0.596032927237205
36	500	10.41	0.886012684742262	0.5842912063139626
37	500	6.98	0.89099530709618	0.5965189336461874
38	500	13.36	0.8905007968319891	0.5824914070188536
39	500	18.42	0.8877565777422123	0.5854704687477276
40	1000	21.89	0.8202181146923806	0.6078007058606798
41	1000	3.95	0.7417598988580514	0.5953469431287662
42	1000	5.76	0.7800803138069675	0.6019952926461534
43	1000	12.09	0.8067972588442641	0.6064620672603782
44	1000	47.04	0.8494845560125466	0.6037205547987375
45	1000	29.96	0.8324277073132933	0.6025470492987449
46	1000	19.26	0.8341490498797827	0.6074013564547953
47	1000	8.96	0.7703673326765443	0.6259883746297382
48	1000	3.7	0.7685739924197165	0.616469739132121
49	1000	19.37	0.819482876321294	0.6007342211535198
50	2000	13.31	0.7330916426912714	0.6156404376724051
51	2000	3.27	0.6897845352445469	0.6190733881797423
52	2000	23.53	0.7488655422085165	0.6208556136770202
53	2000	12.79	0.7379020014733946	0.6193012415585171
54	2000	3.71	0.7014925193290079	0.6286583799139974
55	2000	6.85	0.7201243702387616	0.6308387428311024
56	2000	15.1	0.7391771124020057	0.6256247788125445
57	2000	5.29	0.7148296201316254	0.6330045619155197
58	2000	18.53	0.7466692202845874	0.6314362519573575
59	2000	1.46	0.6726507730977226	0.6307835974654947
60	5000	9.8	0.6645798318149599	0.6279990594988195
61	5000	3.52	0.6454110641863482	0.6245806528241699
62	5000	10.9	0.6725888512765845	0.63499767298677
63	5000	5.24	0.6590731840099473	0.6324579562036718
64	5000	5.04	0.6619630675861184	0.633855376127753
