	n train	train time	train score	test score
0	50	0.14	0.7299270072992701	0.4944394991324548
1	50	0.23	0.9344262295081968	0.5566933078821662
2	50	0.15	0.7666174298375185	0.49685708233468445
3	50	0.31	0.9687010954616588	0.5614258326173209
4	50	0.21	0.9191616766467066	0.49443295386658603
5	50	0.12	0.6144393241167435	0.5495077960066738
6	50	0.13	0.6849529780564263	0.5464898334170334
7	50	0.16	0.741506646971935	0.5335427025045757
8	50	0.12	0.6960926193921853	0.5213417319011499
9	50	0.13	0.6960486322188449	0.5158901204566929
10	50	0.12	0.6797488226059655	0.5450433296600508
11	50	0.13	0.676829268292683	0.4963632122736826
12	50	0.2	0.8492753623188406	0.5394679531882585
13	50	0.16	0.8242424242424242	0.5576194630025871
14	50	0.21	0.8712121212121212	0.513358292613846
15	50	0.29	0.9308270676691729	0.5609352351892534
16	50	0.19	0.8300153139356815	0.4863659136834138
17	50	0.14	0.8643790849673203	0.5525543197564685
18	50	0.13	0.5858156028368794	0.5145519110986289
19	50	0.15	0.8619676945668135	0.5089869475498094
20	500	1.02	0.733343261355175	0.5963100171128951
21	500	1.03	0.7563231245698555	0.6238489257433637
22	500	0.68	0.5653543539990534	0.5386004079485709
23	500	1.39	0.7844292899682167	0.5956447800909673
24	500	1.08	0.7338199879590608	0.6022453832074659
25	500	0.86	0.7203051976169501	0.6336364783137491
26	500	0.91	0.7308464515378125	0.6328278404668798
27	500	1.79	0.799702258121573	0.6303442095817932
28	500	1.67	0.8172616344646755	0.6256268579629705
29	500	0.65	0.5735654147011405	0.5324508331528427
30	500	1.45	0.7667672982690353	0.6031843313475393
31	500	1.19	0.7824556213017752	0.6212076134532585
32	500	1.42	0.8034377276037873	0.6102210871805612
33	500	0.96	0.7244171706215361	0.6085585896499116
34	500	0.78	0.6713384723195515	0.5976035996582181
35	500	1.45	0.8336995351479007	0.6292395472104076
36	500	1.08	0.7748568027969948	0.6154129705748648
37	500	1.29	0.7497208726877697	0.6110440056075078
38	500	1.3	0.8168917036841565	0.6228867716606649
39	500	1.22	0.7852424847346172	0.6218353639524837
40	1000	2.19	0.7476355534479708	0.6194296812336517
41	1000	1.62	0.6853461170552627	0.6316752786498188
42	1000	1.81	0.7088742697126452	0.6409793740821752
43	1000	2.65	0.763125269512721	0.6291529711936898
44	1000	1.66	0.7167435735872834	0.634869963417914
45	1000	2.13	0.7703927715832125	0.6473166790035011
46	1000	2.27	0.737550796265788	0.6418037800695464
47	1000	2.66	0.7849957781122655	0.6461908932740847
48	1000	2.78	0.7711613474208668	0.6416092071659951
49	1000	1.66	0.7226648214411261	0.6291226249610259
50	2000	4.59	0.709604113673954	0.6360546565401487
51	2000	6.18	0.729882027346272	0.6506571446932174
52	2000	5.86	0.7153733115106162	0.6599633227101684
53	2000	6.49	0.7286440828129094	0.6489274094313711
54	2000	5.97	0.7313367941923394	0.6577498327982083
55	2000	6.26	0.7374984765499488	0.6701989284804749
56	2000	4.05	0.6953986309885031	0.6510938924339107
57	2000	5.56	0.7333254809435382	0.668431706695926
58	2000	5.13	0.7459207948630406	0.6601284419173107
59	2000	3.36	0.7075682426667722	0.6504209200977744
60	5000	6.72	0.6918959503253832	0.6654780067166328
61	5000	8.12	0.7241461063688412	0.6536114396966805
62	5000	6.74	0.6959530421457572	0.6547443657161354
63	5000	8.6	0.7402519661068245	0.6806433877344098
64	5000	7.47	0.7300052061085006	0.6770521193570883
65	5000	9.61	0.7402253726871876	0.6766049586934221
66	5000	9.1	0.7438081513112892	0.6891093916234877
67	5000	7.7	0.7314043240774273	0.6802631672898554
68	5000	10.43	0.7560066429031244	0.6770744327634588
69	5000	6.96	0.7135738670617416	0.6721018157757568
