	n train	train time	train C	test C	train brier	test brier
0	100	0.46	0.5727209464161448	0.4967842924336498	0.18815336158712545	0.21478103298364043
1	100	0.41	0.6112709832134292	0.4830388902546584	0.18923541733956464	0.23781300979264167
2	100	0.41	0.5852023121387283	0.5110912783253154	0.20529793075632952	0.20894677672495807
3	100	0.41	0.5368690393114678	0.5040627435811098	0.15301044669105007	0.14563723259130906
4	100	0.41	0.4938500812253423	0.48202000030292896		
5	100	0.41	0.6020930232558139	0.5204209081577608		
6	100	0.41	0.48368219671393203	0.5112136150262092	0.2416349627370232	0.24125009897589467
7	100	0.51	0.7866697958225769	0.5071479586665066	0.16234741760796315	0.24049273418434974
8	100	0.41	0.6692660550458716	0.499874167964795	0.17766884353252554	0.23691820404438807
9	100	0.42	0.6411149825783972	0.49963590267591146	0.2054557109872214	0.2478874782078515
10	100	0.41	0.5101343657481212	0.5143058207802286	0.23605122440108262	0.2346476167588422
11	100	0.53	0.8284066330209084	0.49929394246912745		
12	100	0.41	0.5424657534246575	0.5032162901220687	0.21717835197902283	0.24539810691375014
13	100	0.47	0.8053954346322343	0.5058957551495012	0.14988489199008692	0.23197624466957645
14	100	0.48	0.7714741398951925	0.5083922976813118	0.15023534543026318	0.202963342195947
15	100	0.41	0.6604534005037783	0.49949463291416507		
16	100	0.46	0.7896028558679161	0.5202805122295922		
17	100	0.45	0.7603564547206165	0.49652855047321	0.16392088539859387	0.24796646479854526
18	100	0.46	0.7312470138557096	0.4955603428689937	0.1839529750310629	0.24952986653936896
19	100	0.4	0.5625283189850476	0.4768987529812289	0.20509394330634703	0.2198164513683042
20	500	0.64	0.5657861470321088	0.5077142028249292	0.22215906096067028	0.233615749844098
21	500	0.61	0.552433366517027	0.507990334235518	0.2254317657722945	0.24753784885409522
22	500	0.68	0.706823067576409	0.521473003785447	0.18206580622342985	0.24188698678254097
23	500	0.66	0.6685808270676692	0.504093036478474	0.09940443537027707	0.11966467620206146
24	500	0.65	0.6931125002360673	0.5231187236903274	0.1996224327919378	0.2414602644061814
25	500	0.61	0.5553436563057421	0.5114070235247651	0.2169806513065906	0.23075509329863506
26	500	0.69	0.7634607899468056	0.5108308759191272	0.17927079173726707	0.24232163729838505
27	500	0.66	0.679846662459617	0.5171387892394969	0.20053994768254818	0.24253679292480745
28	500	0.61	0.5603068250080865	0.5140203684781431	0.23311853182907485	0.24256442437894316
29	500	0.61	0.5615836190297281	0.4999592210997021		
30	500	0.61	0.5774177556193701	0.49005315238375974	0.1879927801100864	0.21103374995546728
31	500	0.65	0.6654047250193649	0.5071182483248611	0.19547417270150677	0.23415092637351412
32	500	0.63	0.6516377223740762	0.4921040397908858	0.19680557746769742	0.25061894273706786
33	500	0.69	0.7753302304546911	0.5130469178724599	0.16467687892420516	0.24893003884905773
34	500	0.67	0.7094438929367473	0.5265371606467301	0.19005253538096709	0.24197172977520046
35	500	0.67	0.7400894957260054	0.5022958520867729		
36	500	0.68	0.6864495798319328	0.5019894277788199	0.1872417893113525	0.23009045431214786
37	500	0.69	0.7395853843773733	0.5273509909855328	0.17781024656619496	0.2250184917794023
38	500	0.65	0.6885863240261522	0.5172308330430264	0.19593208820729266	0.24070185745750655
39	500	0.65	0.6291745550927679	0.48693589673384313	0.2082838138989184	0.2519333349611993
40	1000	0.95	0.6251730061691044	0.53749882032467		
41	1000	0.96	0.6866082288887907	0.5151307196776835		
42	1000	0.96	0.6694575146937325	0.4992222881157468	0.1984385782746474	0.2480451365120387
43	1000	0.91	0.5850710663091414	0.5245855989896153	0.16354703597441106	0.17855827716556882
44	1000	0.94	0.6287235498746819	0.5015612493256918	0.20591316960990602	0.23246964831481215
45	1000	0.96	0.6886556103210201	0.5337212377677863		
46	1000	0.93	0.6364296776273222	0.5212527977238383	0.160687085213695	0.17758613041112112
