"n.train","train.C","test.C"
100,0.599045346062053,0.517949278530826
100,0.695443645083933,0.534223044397463
100,0.606132075471698,0.565281248629927
100,0.597590361445783,0.530588519160324
100,0.621428571428571,0.535647670667749
100,0.609638554216867,0.4922985521278
100,0.646634615384615,0.53133681884803
100,0.64218009478673,0.510919237191317
100,0.593824228028504,0.539676594994713
100,0.664319248826291,0.543406810114378
100,0.737980769230769,0.572597451027705
100,0.66824644549763,0.559172249647391
100,0.620283018867924,0.584015449099168
100,0.666666666666667,0.508938006340261
100,0.613207547169811,0.553322791760004
100,0.540284360189573,0.555768131239829
100,0.660194174757282,0.52287969742947
100,0.621428571428571,0.560334212840809
100,0.669099756690998,0.547230769230769
100,0.598086124401914,0.501943901421135
500,0.56720669396475,0.564057717533887
500,0.624260616226715,0.564393939393939
500,0.61451969898185,0.581919417773686
500,0.58066802516169,0.543398626861743
500,0.578134705830154,0.573807904149569
500,0.566805938305627,0.559477181710162
500,0.60053050397878,0.576991227878284
500,0.620297771121487,0.55442042358731
500,0.571758027319496,0.585675890024674
500,0.584726173541963,0.565668960077129
500,0.596547144754316,0.589356614824402
500,0.602657866571531,0.559855430183357
500,0.623551106427819,0.581557637867849
500,0.567810967454302,0.566638781261007
500,0.581818181818182,0.570496771643168
500,0.580751424501424,0.576021462813916
500,0.602449196911882,0.569496668645689
500,0.613680666312245,0.592194371152155
500,0.593349928876245,0.576461538461538
500,0.580981866430783,0.542205724075823
1000,0.576539174984542,0.585067774376913
1000,0.604642497040901,0.57617600422833
1000,0.59315389500887,0.593033451707659
1000,0.591582639193336,0.549014016539077
1000,0.570212392487274,0.575058699611595
1000,0.580614791785261,0.568564890199357
1000,0.581266855225942,0.579353794325465
1000,0.592540618764663,0.571007997187802
1000,0.591540639610176,0.581313887909764
1000,0.581717087693183,0.564945878434638
1000,0.591913051084675,0.591440542259855
1000,0.586458540026898,0.556681946403385
1000,0.586990372173608,0.582896267199192
1000,0.573403366884972,0.577690207819655
1000,0.58404639457271,0.578227258751702
1000,0.579057660916751,0.595461142630954
1000,0.572468854184945,0.589726675022539
1000,0.61611955997721,0.59707563764292
1000,0.589015443590139,0.573824175824176
1000,0.576335459547138,0.557515320578997
2000,0.57437249998632,0.584258854394403
2000,0.586488124157282,0.576087914023961
2000,0.608340013414694,0.592507343592442
2000,0.583947865797035,0.551821711377745
2000,0.573515592561026,0.579754668539203
2000,0.57891521577868,0.576486379439335
2000,0.584364657178123,0.581694485157395
2000,0.593595467595271,0.570986026891642
2000,0.587295088678905,0.580851251321819
2000,0.576175217168579,0.565866164161444
2000,0.592079488844389,0.594972250860991
2000,0.598831286898803,0.565915902679831
2000,0.587958335381607,0.585200465228555
2000,0.580279021890297,0.587332687566044
2000,0.586132514921991,0.586726402248869
2000,0.582483086287303,0.594493556757708
2000,0.578760965211926,0.594916111440948
2000,0.599261255756094,0.597581354441513
2000,0.590763573082038,0.582879120879121
2000,0.596653189945384,0.578975113668812
5000,0.581252883445875,0.582487975513774
5000,0.576466584050408,0.576330162085976
5000,0.588234832430735,0.589723354816081
5000,0.577259816338488,0.558468051503652
5000,0.578765319258047,0.586337802549867
5000,0.585315295657866,0.58009505787088
5000,0.577759681379387,0.582044495001422
5000,0.583819580483069,0.573226997099921
5000,0.587955790683418,0.584640465280226
5000,0.576166892838287,0.562535606293001
5000,0.585965748277857,0.598482023383859
5000,0.577662148214649,0.565144569816643
5000,0.587858950859736,0.584256841273673
5000,0.586414479947872,0.58929200422684
5000,0.576983968451546,0.588219791803927
5000,0.579136687501585,0.596186832035889
5000,0.575614304778368,0.592805154253799
5000,0.587615150019791,0.601297273526825
5000,0.591998614569585,0.588813186813187
5000,0.58539471765083,0.580271047949568
10000,0.583338881829262,0.584105815478793
10000,0.578827182848106,0.579391296687808
10000,0.581368367128186,0.589372616072603
10000,0.577129548181686,0.556866788040975
10000,0.581244461648807,0.589782976015448
10000,0.584062989790009,0.579831008229547
10000,0.577108124939333,0.582088246231925
10000,0.586660402305535,0.581158274013534
10000,0.584476476156683,0.585103101868171
10000,0.577949287916925,0.568298347868005
10000,0.583161603106305,0.597165858687784
10000,0.578734353143972,0.566378702397743
10000,0.585485222716134,0.58748271851478
10000,0.584582144097928,0.589049841493484
10000,0.579919006559518,0.587582905081917
10000,0.57897629544,0.595043321458416
10000,0.578839107965566,0.595729709523495
10000,0.584352991997487,0.595184696569921
10000,0.5832743532948,0.591428571428571
10000,0.581160915740663,0.578404023985767
