"","beta0"
"hsa.miR.3140.3p.1",1.2
"hsa.miR.934.1",-1.5
"hsa.miR.200b..1",2.1
"hsa.miR.1293.3p.1",-2.4
"hsa.miR.1258.3p.1",1.9
"hsa.miR.370.1",-0.3
"hsa.miR.138.2..3",0.3
"hsa.miR.124.3..1",-0.8
"hsa.miR.659..1",1.8
"hsa.miR.135b..1",-1.8
